,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,NS_2,NS_1,AP.7,AP.8,AP.9,AP.10
T1,1.0,0.9182330713380945,0.9528998002224772,0.9024296722194547,0.9270904019698308,0.9029132822578595,0.9619776821278913,0.8824551137177329,0.9037988304337372,0.8854738570946558,0.9601726830299223,0.8982558944108582,0.8979723637522625,0.9017266200867318,0.9053600011695463,0.8931005545290285,0.8925980549783296,0.9167099833384249,0.8553882154768723,0.8854277120793376,0.9529053491442706,0.9419481273914415,0.9268672502433656,0.9347811973479035,0.9354206290651756,0.9548585479847492
T2,0.9182330713380945,1.0,0.9360218020222272,0.9232391814946527,0.9320536747400379,0.9251096004580539,0.8906410091088921,0.9168348116167782,0.9111565568058159,0.9099890439532421,0.9050548555561948,0.9109485769029444,0.9092222200935979,0.8892416282841012,0.9251284785674999,0.926366897823634,0.9290487594057224,0.941515929491857,0.8909069678079957,0.9337374235922373,0.9005620877570141,0.9067069237610069,0.8957443462019874,0.9087331304935228,0.9147525617442273,0.922430533307608
T3,0.9528998002224772,0.9360218020222272,1.0,0.9282188934262249,0.935759633635897,0.9383729247441202,0.9354034584547274,0.9127462220661794,0.9221107560844376,0.9210419252104697,0.9384874903194689,0.9136415474922509,0.9191028485369731,0.9041924038720858,0.9360793009041585,0.9228361217212028,0.9294585203715534,0.9431846421009452,0.9015708892907291,0.920775847443177,0.9365362540729093,0.939718252711656,0.9240088791444758,0.9319603429331642,0.9366623261413632,0.944755664896357
T4,0.9024296722194547,0.9232391814946527,0.9282188934262249,1.0,0.8946845701126949,0.9412586915562715,0.8591367159727834,0.9223335294748087,0.921889350254174,0.9338325507876082,0.896375356988815,0.9083114490815122,0.9119344915983656,0.8861802582876852,0.9217626868519045,0.9051888488964747,0.9251368077820459,0.9213801316073724,0.8944157338745408,0.9250710113103277,0.8760303160420868,0.8707313169407299,0.8749443437766001,0.8794809881980036,0.884807186476732,0.8891852736832251
T5,0.9270904019698308,0.9320536747400379,0.935759633635897,0.8946845701126949,1.0,0.9100684334725995,0.9020230702425983,0.9070362915013225,0.8984098123118762,0.9163506157388102,0.9097721488133229,0.9159241920575937,0.9251735693600254,0.8992284339511953,0.9226819163409857,0.9228997478723306,0.9247362270910292,0.9507142560081914,0.8981942673800324,0.9109301703567977,0.9191910478619467,0.9199574305509154,0.9100201140545829,0.9319442196199301,0.933903309171087,0.9316445658275617
T6,0.9029132822578595,0.9251096004580539,0.9383729247441202,0.9412586915562715,0.9100684334725995,1.0,0.8662816256143037,0.9279497869599254,0.9206550467848165,0.9331553593051286,0.8852055433007249,0.8961394788967987,0.9267265244743431,0.8718348288852207,0.9313561389253253,0.9122353262959187,0.9402215822518077,0.9301278639270887,0.9109497190225758,0.9250856040094257,0.8776065955169802,0.8762815236799457,0.8828517290168811,0.8862467346307308,0.8995080616534721,0.9030528576254793
T7,0.9619776821278913,0.8906410091088921,0.9354034584547274,0.8591367159727834,0.9020230702425983,0.8662816256143037,1.0,0.8380258092183902,0.8797293203634564,0.8460419324099127,0.9585612350688477,0.8683184716918776,0.8620062188938883,0.8804892335044779,0.8774352976250624,0.8532472733901976,0.8624626290710461,0.8751482046373227,0.8275922985890567,0.8451024428718051,0.9521978649795106,0.9462563943058658,0.9178114946328784,0.9213624198520352,0.9257921297430517,0.9442165195372466
T8,0.8824551137177329,0.9168348116167782,0.9127462220661794,0.9223335294748087,0.9070362915013225,0.9279497869599254,0.8380258092183902,1.0,0.9084257318333164,0.9288788896468783,0.8657993051262074,0.9010442415569422,0.9047734371481628,0.8759194629775608,0.9102564507564999,0.9111779140841475,0.9204614580774032,0.9269193423129477,0.8959495968751676,0.9254058423081419,0.8565194293957005,0.8578841369141693,0.8759386279939281,0.8642515390652741,0.8871026318880958,0.8761142701516084
T9,0.9037988304337372,0.9111565568058159,0.9221107560844376,0.921889350254174,0.8984098123118762,0.9206550467848165,0.8797293203634564,0.9084257318333164,1.0,0.9127727613849621,0.8983361268663205,0.9023170910741651,0.9054648660516376,0.9043922930039247,0.9183701597184933,0.9062925417061052,0.9112120979316704,0.91441983864402,0.9035909597166086,0.8995642325252884,0.8684134409021885,0.8745513468579424,0.8697934769333295,0.8797094429064476,0.8776770290766189,0.8973630598402684
T10,0.8854738570946558,0.9099890439532421,0.9210419252104697,0.9338325507876082,0.9163506157388102,0.9331553593051286,0.8460419324099127,0.9288788896468783,0.9127727613849621,1.0,0.8759399225092213,0.9023716652674415,0.9260236133625188,0.8778111597225172,0.9151063001397319,0.9147679554218142,0.9428202491926436,0.9300697304725972,0.9277428691505951,0.92717140521475,0.8743241294857514,0.8721929926982117,0.8788441505885642,0.8864621114428313,0.891053799704793,0.8873620189784058
