,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,SSP_4,SSP_3,SSP_7,SSP_8,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6
N1,1.0,0.9781386736685925,0.9804840706678829,0.9332715245677049,0.937998639371532,0.9419045967217078,0.9250238929709722,0.9650134964413816,0.9687602825558497,0.9709292434606487,0.9706226033668779,0.9764536318742292,0.9734840166719204,0.9663978536099792,0.9721302748566006,0.9357717464948468,0.9667901184319422,0.9397868656935566,0.9711202429559131,0.9492616834769196,0.9105971921311934,0.9487973223049196,0.9417790881759308,0.9323609979220604,0.709040058674354,0.7652192670652789,0.6735153055595516,0.8007904356911043,0.9549205599931379,0.9505415491133281,0.9340987221463403,0.955168336363842,0.9533688091451488,0.9512533950394454,0.9530192842680447,0.9537051721959279,0.9571213983421492,0.9546059772913672,0.9452594052295734,0.9324548332651728,0.9234889799353685,0.9337224485954362,0.9281180461838696,0.9061893835644752
N2,0.9781386736685925,1.0,0.978002052466951,0.9356151851364874,0.9504184234651081,0.9477082962807438,0.935130029882343,0.9715745469844927,0.9612354819866981,0.9778386200753733,0.9679804240937786,0.9732685773728345,0.972278037417243,0.9720521110291277,0.9709177500140795,0.9460292074041201,0.9726688774135446,0.9411688228905173,0.9691391137008576,0.9562277044467856,0.9054249784432464,0.9453524677086017,0.9381092915629823,0.9271081160265632,0.714835879523944,0.7669877446620695,0.6739642316926171,0.8059727124448717,0.9535091646909368,0.9438612814464529,0.9277177153349107,0.9517955216101648,0.9431505663421594,0.9498514928717702,0.9586986906778867,0.951007836847538,0.9539402577344301,0.9566609314110506,0.9472159708929233,0.9198832174518238,0.9139952034211954,0.9264715897209922,0.9164004410928013,0.897280900542325
N3,0.9804840706678829,0.978002052466951,1.0,0.9414584362004655,0.9459158520228844,0.9454013024226359,0.9254269256880336,0.9671983290303908,0.9603153805022019,0.971062367536493,0.97452744914988,0.9808195480819076,0.9791009513509009,0.9717334274440945,0.974681523256579,0.927787201628045,0.9684970161414654,0.925882243794389,0.9777985643544878,0.9488378723483787,0.9223819123066542,0.9448378002886392,0.9386333748679047,0.9262191221298823,0.7063427907504569,0.7409141119795556,0.6560946363055937,0.7938757503203525,0.9573130291273886,0.9567064648738051,0.9417167302954149,0.9594882337936275,0.9543500971383622,0.9628284864435482,0.9570152903027004,0.9588168123624812,0.9586719701810631,0.9568397826542684,0.9492670742469078,0.9302267729247795,0.927406914714192,0.9343559398262561,0.9367276990867642,0.904877242407065
N4,0.9332715245677049,0.9356151851364874,0.9414584362004655,1.0,0.9817170220188816,0.9854843931610388,0.9786202933022976,0.9640710717387735,0.9554842050448346,0.9581106481417337,0.9609526525481221,0.9591063088450824,0.96253878146536,0.9615875148203018,0.9231345506079058,0.9584540492433001,0.957792386792347,0.9339661413942706,0.9688263849065945,0.9588829222850881,0.9036189969190446,0.9168340881110156,0.9121285188151961,0.9035716302580606,0.713665981532585,0.7602367448472275,0.6076777090609871,0.8046662645419743,0.9170277300808312,0.9144008786697736,0.8987876495649768,0.924086206798914,0.9237663638364286,0.9310690286291159,0.9213453201701493,0.9401671475063846,0.9100138170294995,0.9204286431430969,0.9403318055335087,0.9006877925008421,0.9205359532276592,0.9094267265399282,0.911137704074174,0.9153054208071782
N5,0.937998639371532,0.9504184234651081,0.9459158520228844,0.9817170220188816,1.0,0.9833928033890611,0.9804282747719044,0.9720334708035889,0.9552537717432493,0.9654608938831929,0.9607299952448669,0.9609686640756919,0.9650292208721893,0.9708721718915927,0.93333820390255,0.9625700722021315,0.9656245579200058,0.9326140052835852,0.9680905341367069,0.9613612652791044,0.9026311891475295,0.9200153119376352,0.9144680544054917,0.9038576926624494,0.7144384756735688,0.7610909892363106,0.6127550397039644,0.8089978432034993,0.9231410534526225,0.9124160055124964,0.9014992224907649,0.9305126144782178,0.9224342028044521,0.9357032319033048,0.9329204091698808,0.9423488862502418,0.9186310857111288,0.9286237486372301,0.9467168409385505,0.8940553714992566,0.9121188854354806,0.9056819235805633,0.9068181511743618,0.9031564588905573
N6,0.9419045967217078,0.9477082962807438,0.9454013024226359,0.9854843931610388,0.9833928033890611,1.0,0.9806629395039017,0.972670517397087,0.9643905141063297,0.9700670304697061,0.966027070570339,0.9643642180734384,0.9648840353217017,0.9707436090400801,0.929060757921497,0.9663264837815185,0.9636584896078396,0.9419962410452845,0.969278821214013,0.9629852703012918,0.9022278982479844,0.922674662137717,0.9173427985175339,0.9109149495691147,0.7194289466608932,0.7791769383379356,0.6221015997414473,0.8165430004665057,0.9226707806783171,0.9162145735677406,0.8981457693874841,0.927157500347298,0.9250971257322882,0.930726892927289,0.9287893441391071,0.9424972204532657,0.9176329497766968,0.9254611571897691,0.9432296383894592,0.9021365314159575,0.9168169634385709,0.9112430407109156,0.9086591137650246,0.9168439230344196
N7,0.9250238929709722,0.935130029882343,0.9254269256880336,0.9786202933022976,0.9804282747719044,0.9806629395039017,1.0,0.9589800925681261,0.9477611887186788,0.9551874864450169,0.9537644704870922,0.9474191824115957,0.9501498428441558,0.9541034057876038,0.9205102571244341,0.9665110281758148,0.9597076956784258,0.9397167090834555,0.9560661218895575,0.9616975962958455,0.8908564310763168,0.9126836645395903,0.898936024549404,0.8980284071849077,0.721651105289783,0.7750233551675713,0.6205923894588338,0.8137263798404334,0.907810056340372,0.8971390269813027,0.8873872196575959,0.9123866898672509,0.9148713427507392,0.9227650832937374,0.9160607333566846,0.9298064415762675,0.8992366021776315,0.920838534052446,0.9407859260683133,0.8913644624678603,0.910891847421804,0.8981188016920675,0.8907109545670368,0.9056303003816154
N8,0.9650134964413816,0.9715745469844927,0.9671983290303908,0.9640710717387735,0.9720334708035889,0.972670517397087,0.9589800925681261,1.0,0.9756156054528128,0.9845023883272328,0.9795181945232296,0.9795734527082754,0.9820614668069308,0.9838388807407458,0.963313822179949,0.9571955839586012,0.9742428538525968,0.9390468257483029,0.9773667095898739,0.9602976800347374,0.9143670328464858,0.9401850899823326,0.937362666808727,0.9257610029387465,0.7293999774259057,0.7779790803943203,0.6510334831095627,0.823978786344781,0.9492155572728075,0.9369992267534104,0.9203321634664259,0.9501860113572367,0.9465837966593936,0.9483163716198362,0.9561503857891214,0.9546150761056867,0.9462449392930066,0.9534470282231856,0.9558570187644646,0.9229026711108592,0.9195017185504295,0.9286530802165057,0.9271439054742393,0.9178574619067861
N9,0.9687602825558497,0.9612354819866981,0.9603153805022019,0.9554842050448346,0.9552537717432493,0.9643905141063297,0.9477611887186788,0.9756156054528128,1.0,0.9747688350158075,0.9714420661018477,0.9732619812802482,0.9744179120633611,0.9710330598926232,0.9536052205102323,0.9492812176996569,0.9638617230368689,0.9457018058516099,0.9733664620807491,0.9505936358565775,0.9079014076289202,0.9431115867221065,0.9404858178035456,0.936156404689063,0.7344111151324811,0.8054549442157412,0.6808367630179347,0.8336217556267749,0.9419738842838049,0.9349787646327168,0.9068323033113426,0.9454616894316139,0.9497966484424338,0.9373762663006092,0.9444705960637529,0.9515692576448747,0.942768182466839,0.9453298540800708,0.9458457725155948,0.9310403111894888,0.9260755914228516,0.9282352934279305,0.9257873004627535,0.9320449279988983
N10,0.9709292434606487,0.9778386200753733,0.971062367536493,0.9581106481417337,0.9654608938831929,0.9700670304697061,0.9551874864450169,0.9845023883272328,0.9747688350158075,1.0,0.9804090512673111,0.9815372868399612,0.9763797705084584,0.9812937326816872,0.9599047069538644,0.9639635987604159,0.9775836788968006,0.9486179659968428,0.9750954268161774,0.968654827547931,0.9113271397979251,0.9426663152196337,0.9372060292656997,0.929745170646574,0.7339434478870668,0.7919765659564337,0.6667643749703898,0.8305983798122053,0.9533845860582935,0.9430929211411802,0.9197407395211328,0.9509823602171983,0.9437093519485324,0.9458162409423422,0.9544068525585583,0.9557898325819563,0.9460670645372056,0.9512763780971512,0.9569295797685001,0.9240973419978562,0.9221452372039999,0.9281004900974831,0.9195888110838879,0.9207056268056132
N11,0.9706226033668779,0.9679804240937786,0.97452744914988,0.9609526525481221,0.9607299952448669,0.966027070570339,0.9537644704870922,0.9795181945232296,0.9714420661018477,0.9804090512673111,1.0,0.9814273704225912,0.982126296248294,0.9788681354886826,0.9700462161763531,0.9502562893654047,0.9798081488499765,0.9385042784286203,0.9798324825856719,0.9624682019169563,0.9278700253629879,0.9494579202203681,0.9375915588656982,0.9323435877304647,0.7229019358271576,0.7672184719369731,0.6431249352178684,0.8148027773372681,0.9459831460767836,0.9443005266245107,0.9372289370746892,0.9499586182602339,0.9585429216871942,0.9601079761385305,0.9508254795834903,0.9560357204546175,0.9469798405101804,0.955647196108442,0.9588667146087321,0.9362468535082111,0.9342080777367976,0.9426113486494332,0.9414200518224763,0.9260993600166928
N12,0.9764536318742292,0.9732685773728345,0.9808195480819076,0.9591063088450824,0.9609686640756919,0.9643642180734384,0.9474191824115957,0.9795734527082754,0.9732619812802482,0.9815372868399612,0.9814273704225912,1.0,0.98515281795283,0.9776970493986493,0.9703795690406127,0.948754585782628,0.9755141342429297,0.9395701085652982,0.9831909308479113,0.9621556581880487,0.9278537554444316,0.9465268436510191,0.9399804810814725,0.9288803804136638,0.7332690886937752,0.7674250922572182,0.66123696165332,0.8230409214539149,0.9569850945888879,0.9543530468463347,0.939809313537816,0.9611665288230617,0.9574957971612348,0.961360941121249,0.9600127586027343,0.9668437244072413,0.9559346479040398,0.96072528211693,0.9616301654021869,0.9350823413045382,0.9361877824075296,0.9371477901734919,0.9365953560152209,0.9208200234061915
N13,0.9734840166719204,0.972278037417243,0.9791009513509009,0.96253878146536,0.9650292208721893,0.9648840353217017,0.9501498428441558,0.9820614668069308,0.9744179120633611,0.9763797705084584,0.982126296248294,0.98515281795283,1.0,0.981298914252973,0.9721228874933359,0.9463897667270531,0.9752301217512256,0.9337612043833006,0.9863779014827012,0.9591601352064972,0.926410070811821,0.9460423667627156,0.941777003093016,0.9296324938538529,0.7201641583203413,0.7574618101874158,0.6437787650697538,0.8114311679242044,0.9502450657570731,0.9467586154419386,0.933043969731023,0.9586235762008376,0.9579445398669328,0.9608929202338825,0.9589677399353295,0.9619749798136887,0.9558570447358281,0.9574622153191789,0.9574826702222675,0.930685394824324,0.92974283146688,0.933479397405253,0.939634297444508,0.9176649663460539
N14,0.9663978536099792,0.9720521110291277,0.9717334274440945,0.9615875148203018,0.9708721718915927,0.9707436090400801,0.9541034057876038,0.9838388807407458,0.9710330598926232,0.9812937326816872,0.9788681354886826,0.9776970493986493,0.981298914252973,1.0,0.9610162111411261,0.9506798389271126,0.9768183654374352,0.9287515742626374,0.9777951410574772,0.9557642546744234,0.9180293789333102,0.9436419378025671,0.9388381713758354,0.927641310509195,0.7068751086559606,0.7580764094680714,0.6251253193803434,0.8050115806568199,0.9397595804456862,0.9335340279440176,0.9217897344263065,0.9500602291514013,0.9417453995478345,0.951227361316713,0.9506217063366099,0.9531435690159102,0.9449480617098501,0.9452246795737193,0.9518402163157381,0.9139833559630222,0.9152506179890555,0.9260602578783138,0.9299809508259599,0.9084443544020575
N15,0.9721302748566006,0.9709177500140795,0.974681523256579,0.9231345506079058,0.93333820390255,0.929060757921497,0.9205102571244341,0.963313822179949,0.9536052205102323,0.9599047069538644,0.9700462161763531,0.9703795690406127,0.9721228874933359,0.9610162111411261,1.0,0.9165334755296954,0.9649449575221316,0.9229595422416356,0.9673653350777855,0.937553149532506,0.9116342312436873,0.9445861284653896,0.9323771445417188,0.9222356012911299,0.7078319197400801,0.7407538448320268,0.6590000066155428,0.7925265223700978,0.9451964894824268,0.941840067961717,0.9372583046802805,0.9454906568705598,0.9567986170288194,0.9578333430107179,0.9527017738168291,0.9452587839188931,0.9504775205070519,0.9613674892152342,0.9448778864394074,0.9315024530096954,0.9219812695084154,0.9357308155691264,0.9340340202229175,0.8974250930712451
N16,0.9357717464948468,0.9460292074041201,0.927787201628045,0.9584540492433001,0.9625700722021315,0.9663264837815185,0.9665110281758148,0.9571955839586012,0.9492812176996569,0.9639635987604159,0.9502562893654047,0.948754585782628,0.9463897667270531,0.9506798389271126,0.9165334755296954,1.0,0.9629754882705505,0.9644870099678114,0.9551662019939148,0.9793825717758236,0.8807237289678227,0.9187108510375538,0.9088472123901324,0.9036188285109595,0.731877437093475,0.8061815607820598,0.6471756397741146,0.824635009640033,0.921664957202854,0.9025729552975486,0.882341264915969,0.9199584453344575,0.9124197220675417,0.9127281694584864,0.9278996512955626,0.936725255463976,0.905403977824502,0.9181796452570262,0.938916091343407,0.8927739954782878,0.9093199058826961,0.8874365117793629,0.8711490562968075,0.9046444325340136
N17,0.9667901184319422,0.9726688774135446,0.9684970161414654,0.957792386792347,0.9656245579200058,0.9636584896078396,0.9597076956784258,0.9742428538525968,0.9638617230368689,0.9775836788968006,0.9798081488499765,0.9755141342429297,0.9752301217512256,0.9768183654374352,0.9649449575221316,0.9629754882705505,1.0,0.9427597882372084,0.9756256210828858,0.9712790073849439,0.9196705966409133,0.949015275968403,0.9326057646075687,0.9295247040733933,0.7237628637859652,0.7729910929231051,0.6469072049410466,0.8192306612255651,0.9445266547806962,0.9355087754079384,0.9286812996639229,0.9518062912050204,0.9443221116117549,0.9568190959685428,0.9512854169399018,0.9566024193177397,0.9408606918008957,0.9560167312136106,0.9603776509170326,0.920123694255413,0.924249281827743,0.9248223109575869,0.9195681543545243,0.9112322358190347
N18,0.9397868656935566,0.9411688228905173,0.925882243794389,0.9339661413942706,0.9326140052835852,0.9419962410452845,0.9397167090834555,0.9390468257483029,0.9457018058516099,0.9486179659968428,0.9385042784286203,0.9395701085652982,0.9337612043833006,0.9287515742626374,0.9229595422416356,0.9644870099678114,0.9427597882372084,1.0,0.9462344814409396,0.9660175618798891,0.8689975620406774,0.9196986768048652,0.9106340895626995,0.90538088201423,0.7214721684390695,0.8051647708006245,0.6757568162321953,0.8093661573639013,0.9149994586429121,0.9022930449267842,0.8817006908125211,0.9071254857918738,0.92025613587714,0.9040147097954119,0.9151615649367549,0.92710341812337,0.9036499499725145,0.9159896438298225,0.9218393067441255,0.906215726113239,0.9208222952867486,0.9043670956300311,0.8780491469510111,0.9031442354396706
N19,0.9711202429559131,0.9691391137008576,0.9777985643544878,0.9688263849065945,0.9680905341367069,0.969278821214013,0.9560661218895575,0.9773667095898739,0.9733664620807491,0.9750954268161774,0.9798324825856719,0.9831909308479113,0.9863779014827012,0.9777951410574772,0.9673653350777855,0.9551662019939148,0.9756256210828858,0.9462344814409396,1.0,0.9669441510157774,0.9280591960888273,0.9470790169775248,0.941835633506228,0.9305230357374896,0.7321886032680167,0.7707883069364211,0.6527045487615498,0.8196439343772992,0.9525284055054228,0.9504388442410265,0.9343454508350946,0.9595989611642309,0.9606816303320413,0.9618100070270634,0.9605650191940548,0.9680845379738723,0.9502079624604888,0.9551324959477322,0.9584929763816225,0.9346816810928485,0.9426906417464518,0.9314386979792677,0.9352952231630524,0.9272467992972989
N20,0.9492616834769196,0.9562277044467856,0.9488378723483787,0.9588829222850881,0.9613612652791044,0.9629852703012918,0.9616975962958455,0.9602976800347374,0.9505936358565775,0.968654827547931,0.9624682019169563,0.9621556581880487,0.9591601352064972,0.9557642546744234,0.937553149532506,0.9793825717758236,0.9712790073849439,0.9660175618798891,0.9669441510157774,1.0,0.8966228349788925,0.9257041096554907,0.9152668866301441,0.9082706861072531,0.7303529514762054,0.7877498730083328,0.6480391977853739,0.8180537539100755,0.9351267570001349,0.9220138578987271,0.9061039553941702,0.9330954330097271,0.9282708816283833,0.9344018981914217,0.9376265785994593,0.9488278677178593,0.9216292389495371,0.9329827320280155,0.947908127957379,0.9076270474040714,0.9275162537960496,0.9042541004071855,0.8914067701620442,0.9085759897298592
SSP_4,0.9105971921311934,0.9054249784432464,0.9223819123066542,0.9036189969190446,0.9026311891475295,0.9022278982479844,0.8908564310763168,0.9143670328464858,0.9079014076289202,0.9113271397979251,0.9278700253629879,0.9278537554444316,0.926410070811821,0.9180293789333102,0.9116342312436873,0.8807237289678227,0.9196705966409133,0.8689975620406774,0.9280591960888273,0.8966228349788925,1.0,0.9422013161561775,0.9417334664325147,0.935085328905399,0.7945063763834385,0.7415488725050817,0.6922211064824314,0.8389680481555296,0.9067348574947215,0.9259082559801561,0.9229038279648888,0.9295196902559157,0.9263376319457303,0.9445693987976344,0.9066675273051106,0.9309104100141958,0.9152524959495489,0.9193318719106063,0.9329448748469465,0.9400045046736987,0.9355656970834838,0.913073033187203,0.9423271244271217,0.9234880530358739
SSP_3,0.9487973223049196,0.9453524677086017,0.9448378002886392,0.9168340881110156,0.9200153119376352,0.922674662137717,0.9126836645395903,0.9401850899823326,0.9431115867221065,0.9426663152196337,0.9494579202203681,0.9465268436510191,0.9460423667627156,0.9436419378025671,0.9445861284653896,0.9187108510375538,0.949015275968403,0.9196986768048652,0.9470790169775248,0.9257041096554907,0.9422013161561775,1.0,0.9789745891695687,0.9795159050022156,0.7655411452726429,0.809003294259941,0.7102410864147779,0.8408071287018452,0.9159567406077187,0.9238201739056723,0.9104598961606873,0.9288118402550393,0.9381342007354893,0.9391502780930082,0.9245252443056122,0.9354360878624723,0.9319853240260181,0.9339418892684133,0.9354164013039176,0.9450652242165412,0.936361294087737,0.9241175128966977,0.936504665592817,0.9325892919544863
SSP_7,0.9417790881759308,0.9381092915629823,0.9386333748679047,0.9121285188151961,0.9144680544054917,0.9173427985175339,0.898936024549404,0.937362666808727,0.9404858178035456,0.9372060292656997,0.9375915588656982,0.9399804810814725,0.941777003093016,0.9388381713758354,0.9323771445417188,0.9088472123901324,0.9326057646075687,0.9106340895626995,0.941835633506228,0.9152668866301441,0.9417334664325147,0.9789745891695687,1.0,0.97719997171435,0.7727362028238918,0.8063155405850557,0.7171058975707929,0.8405676058650907,0.9178415672353517,0.9257010834532883,0.8989500694876754,0.9301272870975438,0.9323906150536256,0.929432047737666,0.922956410656591,0.9330974113254973,0.9325202868931068,0.9241947844261446,0.9261299367925186,0.9400707033356082,0.9312592221766909,0.9155806683375809,0.936737288600456,0.9363151993170706
SSP_8,0.9323609979220604,0.9271081160265632,0.9262191221298823,0.9035716302580606,0.9038576926624494,0.9109149495691147,0.8980284071849077,0.9257610029387465,0.936156404689063,0.929745170646574,0.9323435877304647,0.9288803804136638,0.9296324938538529,0.927641310509195,0.9222356012911299,0.9036188285109595,0.9295247040733933,0.90538088201423,0.9305230357374896,0.9082706861072531,0.935085328905399,0.9795159050022156,0.97719997171435,1.0,0.7781737152224274,0.8376485486013595,0.7302825278538615,0.8517974338273417,0.9014493558549725,0.9108472147986937,0.8765958357006839,0.9126177801944906,0.9223202513826633,0.9162198399546744,0.9020232314140973,0.917730522638115,0.9145926437344677,0.9135007498682522,0.9162663900143043,0.9367084025876355,0.925331820824683,0.9050730530494839,0.9277731066429353,0.9444934713881996
CA.1,0.709040058674354,0.714835879523944,0.7063427907504569,0.713665981532585,0.7144384756735688,0.7194289466608932,0.721651105289783,0.7293999774259057,0.7344111151324811,0.7339434478870668,0.7229019358271576,0.7332690886937752,0.7201641583203413,0.7068751086559606,0.7078319197400801,0.731877437093475,0.7237628637859652,0.7214721684390695,0.7321886032680167,0.7303529514762054,0.7945063763834385,0.7655411452726429,0.7727362028238918,0.7781737152224274,1.0,0.8214114452808008,0.8491477070197522,0.9091783816116049,0.7775899618278874,0.7781772191987847,0.7242228595363954,0.7681584434496058,0.7684143790728022,0.7544543709597727,0.7656284833064523,0.7815866767240931,0.7498074471281171,0.7655478784683798,0.7776735730273464,0.8074868270781042,0.7869065323315441,0.7097551229035381,0.7301160769556885,0.8096854794630637
CA.2,0.7652192670652789,0.7669877446620695,0.7409141119795556,0.7602367448472275,0.7610909892363106,0.7791769383379356,0.7750233551675713,0.7779790803943203,0.8054549442157412,0.7919765659564337,0.7672184719369731,0.7674250922572182,0.7574618101874158,0.7580764094680714,0.7407538448320268,0.8061815607820598,0.7729910929231051,0.8051647708006245,0.7707883069364211,0.7877498730083328,0.7415488725050817,0.809003294259941,0.8063155405850557,0.8376485486013595,0.8214114452808008,1.0,0.8207542275890106,0.8961113870474176,0.7726826735968507,0.7573285940961295,0.6762019159398963,0.753495589139482,0.7754108396056839,0.7307635496861331,0.7642798629232703,0.782744389703459,0.7494922404204655,0.7602111165510659,0.7753605233246234,0.7891659382431355,0.7996591348370595,0.7181132273583952,0.7220916388497817,0.850507337507657
CA.3,0.6735153055595516,0.6739642316926171,0.6560946363055937,0.6076777090609871,0.6127550397039644,0.6221015997414473,0.6205923894588338,0.6510334831095627,0.6808367630179347,0.6667643749703898,0.6431249352178684,0.66123696165332,0.6437787650697538,0.6251253193803434,0.6590000066155428,0.6471756397741146,0.6469072049410466,0.6757568162321953,0.6527045487615498,0.6480391977853739,0.6922211064824314,0.7102410864147779,0.7171058975707929,0.7302825278538615,0.8491477070197522,0.8207542275890106,1.0,0.8549272706948926,0.7275155281488122,0.733923947506063,0.6497229911121838,0.7056136690474718,0.712864434252576,0.6793836935199291,0.7008618232921694,0.7083687988961516,0.7064712058518099,0.7166803474206657,0.6865992009977252,0.7469197342271349,0.7126409213340681,0.6577423079381739,0.6613760344325524,0.7375688127274873
