,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,AD11,AD12,AD13,AD14,AD15,AD16,AD17,AD18,AD19,AD20
AD1,1.0,0.9425519786110644,0.9633424210761867,0.9554968846133455,0.941904825069773,0.9691480513281796,0.9728213890633822,0.9486181929167621,0.9419183042150974,0.9636651723092728,0.9403593581703185,0.9459886763582263,0.9040946425913631,0.9735455415646226,0.9732327752842853,0.9418107947266685,0.9549571434512468,0.9231740720671564,0.9411957714302931,0.9606005259421913
AD2,0.9425519786110644,1.0,0.9538593040036558,0.9405380625898808,0.9532567367922156,0.942923339615548,0.9308731193580861,0.906133526122436,0.927603552141453,0.9227294013588994,0.9382463915995577,0.9572267750017145,0.894847907111111,0.9535959374944136,0.9540011154338578,0.9344558756598257,0.929417047133231,0.8711967217053631,0.9320703993564545,0.9451894278382799
AD3,0.9633424210761867,0.9538593040036558,1.0,0.9516279174464031,0.9485834277442488,0.9544703084602587,0.9535977035429927,0.933235911030888,0.9385591887617063,0.9582275081000549,0.944399220183265,0.9591393801925172,0.9058512407813689,0.9597584971421406,0.9599842931767978,0.9468903690822823,0.9481453802185068,0.8946855218530058,0.9420243286404527,0.9631169156016388
AD4,0.9554968846133455,0.9405380625898808,0.9516279174464031,1.0,0.956358422408246,0.9603390161868385,0.9625998977256097,0.9454538442632554,0.9388161486937366,0.9487262127731503,0.9456903913271086,0.9344519700963145,0.9512472259883301,0.9580797508724357,0.951923259369473,0.9400761473759347,0.955277197165609,0.9185610187783407,0.9349784250932303,0.95040752316855
AD5,0.941904825069773,0.9532567367922156,0.9485834277442488,0.956358422408246,1.0,0.9508300795984062,0.9484111082800831,0.9313315597657579,0.9403715792131978,0.9441042087803281,0.9531992150784766,0.9435524477635873,0.9270596647966145,0.9473714553911341,0.9458374465314696,0.9441019944938507,0.9376860571630209,0.8992338930323853,0.9377785328648858,0.9374712015385669
AD6,0.9691480513281796,0.942923339615548,0.9544703084602587,0.9603390161868385,0.9508300795984062,1.0,0.9632181332872267,0.9526555226844914,0.9465230264627739,0.9586607578625863,0.9351658856891436,0.9374228733478871,0.9173398399079367,0.9628716829498865,0.954418159286514,0.9397143080545305,0.9463767480988555,0.9161254866925063,0.939811391563047,0.9541269509623288
AD7,0.9728213890633822,0.9308731193580861,0.9535977035429927,0.9625998977256097,0.9484111082800831,0.9632181332872267,1.0,0.9612949213692911,0.952318787509064,0.9619619964875432,0.9450580813880233,0.9263096078732302,0.9152470229619712,0.9692789566043749,0.9634583555751327,0.9473553193684274,0.9628871589954772,0.9486782032474671,0.9450410759246253,0.9470674146760164
AD8,0.9486181929167621,0.906133526122436,0.933235911030888,0.9454538442632554,0.9313315597657579,0.9526555226844914,0.9612949213692911,1.0,0.9304099142602175,0.949780547886278,0.9209769188225705,0.9097060901019361,0.9104354044347659,0.9533112228104962,0.9415440915245906,0.9317564794157006,0.9416354906349245,0.9274641450306378,0.917074163501171,0.9290125006000505
AD9,0.9419183042150974,0.927603552141453,0.9385591887617063,0.9388161486937366,0.9403715792131978,0.9465230264627739,0.952318787509064,0.9304099142602175,1.0,0.9564188727863304,0.9445371184204447,0.9213973285269972,0.9119495129955906,0.9555419714658256,0.9337713519226639,0.9527971726533652,0.9453416001516833,0.9233106634844748,0.9855858329137165,0.9348799084625176
AD10,0.9636651723092728,0.9227294013588994,0.9582275081000549,0.9487262127731503,0.9441042087803281,0.9586607578625863,0.9619619964875432,0.949780547886278,0.9564188727863304,1.0,0.9395819052975666,0.9414122491674206,0.9109386842200173,0.9657708856261265,0.9502710077512403,0.9591219957391043,0.9566680776968287,0.9101371937300142,0.9550996230891633,0.9485600145943696
