,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6,AP.7,AP.8,AP.9,AP.10
AP.1,1.0,0.9471974880389191,0.9657292017331324,0.9544211285771566,0.867455015520583,0.9201233208838022,0.9392628242392426,0.9669434191391054,0.9496283249721658,0.9643498934615194
AP.2,0.9471974880389191,1.0,0.9542860162990947,0.9328993776841976,0.8539818976113164,0.9347880425837236,0.9719880319404831,0.9386439283394646,0.9631655959558963,0.9422234850855343
AP.3,0.9657292017331324,0.9542860162990947,1.0,0.9516868575870984,0.8672909690606435,0.901321178151579,0.9446039273170772,0.9651996489022254,0.9545635259112993,0.9564512214268711
AP.4,0.9544211285771566,0.9328993776841976,0.9516868575870984,1.0,0.8996635289774436,0.9254205446311469,0.9260573442759285,0.9524621283787243,0.9351721458486055,0.9577114517194703
AP.5,0.867455015520583,0.8539818976113164,0.8672909690606435,0.8996635289774436,1.0,0.8321772889209899,0.8240919008297658,0.8612612446013934,0.864527939484696,0.8711398446798068
AP.6,0.9201233208838022,0.9347880425837236,0.901321178151579,0.9254205446311469,0.8321772889209899,1.0,0.9500984767909884,0.8986658767090959,0.9329951597508592,0.9133746813834274
AP.7,0.9392628242392426,0.9719880319404831,0.9446039273170772,0.9260573442759285,0.8240919008297658,0.9500984767909884,1.0,0.9330683992213662,0.963170825738158,0.9272864596567265
AP.8,0.9669434191391054,0.9386439283394646,0.9651996489022254,0.9524621283787243,0.8612612446013934,0.8986658767090959,0.9330683992213662,1.0,0.943497400816561,0.9631427371606258
AP.9,0.9496283249721658,0.9631655959558963,0.9545635259112993,0.9351721458486055,0.864527939484696,0.9329951597508592,0.963170825738158,0.943497400816561,1.0,0.9435957294607443
AP.10,0.9643498934615194,0.9422234850855343,0.9564512214268711,0.9577114517194703,0.8711398446798068,0.9133746813834274,0.9272864596567265,0.9631427371606258,0.9435957294607443,1.0
