,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10
CL.1,1.0,0.9703172894149178,0.93942048245257,0.9645228146309585,0.9488562769919016,0.9503763488719144,0.9642251365454628,0.9595736373999321,0.959369818972131,0.9605646934690725
CL.2,0.9703172894149178,1.0,0.9478218563234092,0.961460246863645,0.9546927726156248,0.9584334017430209,0.9536195915944664,0.9581991790736534,0.9600935849496696,0.9546157038307704
CL.3,0.93942048245257,0.9478218563234092,1.0,0.9407182270267548,0.9387398606202912,0.9610264224433144,0.9371083492184411,0.9409620487335367,0.9418261236697751,0.9464536822551958
CL.4,0.9645228146309585,0.961460246863645,0.9407182270267548,1.0,0.9531699400870591,0.9645365051781271,0.965340882082673,0.9710438399681585,0.961385020803091,0.9595559696110134
CL.5,0.9488562769919016,0.9546927726156248,0.9387398606202912,0.9531699400870591,1.0,0.9616299547876525,0.95744253868133,0.9616334593008724,0.9519441604048806,0.9626357988571413
CL.6,0.9503763488719144,0.9584334017430209,0.9610264224433144,0.9645365051781271,0.9616299547876525,1.0,0.9574136487765001,0.9675717792539508,0.9536457472479223,0.9682868695571397
CL.7,0.9642251365454628,0.9536195915944664,0.9371083492184411,0.965340882082673,0.95744253868133,0.9574136487765001,1.0,0.9667292379564885,0.9596423964394742,0.9650766217328641
CL.8,0.9595736373999321,0.9581991790736534,0.9409620487335367,0.9710438399681585,0.9616334593008724,0.9675717792539508,0.9667292379564885,1.0,0.9524654411375857,0.9614955569869035
CL.9,0.959369818972131,0.9600935849496696,0.9418261236697751,0.961385020803091,0.9519441604048806,0.9536457472479223,0.9596423964394742,0.9524654411375857,1.0,0.9554372573442559
CL.10,0.9605646934690725,0.9546157038307704,0.9464536822551958,0.9595559696110134,0.9626357988571413,0.9682868695571397,0.9650766217328641,0.9614955569869035,0.9554372573442559,1.0
