,CR.1,CR.2,CR.3,CR.4,CR.5,CR.6,CR.7,CR.8,CR.9,CR.10
CR.1,1.0,0.9742553051560492,0.9689856479366985,0.9595338860498859,0.943253148302197,0.9618234321758026,0.9395075110191611,0.9626768711712855,0.9562840506607013,0.9466304165109624
CR.2,0.9742553051560492,1.0,0.9748573367051322,0.9675163911929583,0.9504705597022242,0.9717060296330018,0.937003941333866,0.9664167153161692,0.9605871399575958,0.9481741365957483
CR.3,0.9689856479366985,0.9748573367051322,1.0,0.9604976468725331,0.9565240521677908,0.9733221909372674,0.9400511577583416,0.9610070604532973,0.9542669512547305,0.953074815246733
CR.4,0.9595338860498859,0.9675163911929583,0.9604976468725331,1.0,0.9670685645433226,0.9651400672295523,0.9597047300842982,0.9757932747155365,0.9550113017265937,0.9635849928421126
CR.5,0.943253148302197,0.9504705597022242,0.9565240521677908,0.9670685645433226,1.0,0.9683648662520253,0.9703800498436205,0.9604810132040317,0.931315793386695,0.9748648900310966
CR.6,0.9618234321758026,0.9717060296330018,0.9733221909372674,0.9651400672295523,0.9683648662520253,1.0,0.9576182235810693,0.9627627833192899,0.9515440826063845,0.9668311059889771
CR.7,0.9395075110191611,0.937003941333866,0.9400511577583416,0.9597047300842982,0.9703800498436205,0.9576182235810693,1.0,0.9600374041607995,0.9257495806017281,0.972549606512531
CR.8,0.9626768711712855,0.9664167153161692,0.9610070604532973,0.9757932747155365,0.9604810132040317,0.9627627833192899,0.9600374041607995,1.0,0.9550658956325251,0.96497727202461
CR.9,0.9562840506607013,0.9605871399575958,0.9542669512547305,0.9550113017265937,0.931315793386695,0.9515440826063845,0.9257495806017281,0.9550658956325251,1.0,0.9303275860230369
CR.10,0.9466304165109624,0.9481741365957483,0.953074815246733,0.9635849928421126,0.9748648900310966,0.9668311059889771,0.972549606512531,0.96497727202461,0.9303275860230369,1.0
