,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6,HP.7,HP.8,HP.9,HP.10
HP.1,1.0,0.9339513314630836,0.9454979646915288,0.9261638213054314,0.9135154528374394,0.9146855889191895,0.9387241222166474,0.9360585940561434,0.8947167424606787,0.9559225593694173
HP.2,0.9339513314630836,1.0,0.9464927595786523,0.9335633090408572,0.9420033329063638,0.935618436058698,0.9336603699621095,0.934474296712748,0.9159257587597557,0.9326178663371795
HP.3,0.9454979646915288,0.9464927595786523,1.0,0.9241137421189635,0.9214109801263313,0.9377888155170864,0.962376611215388,0.9684912280782131,0.9304916693305939,0.9399332339683838
HP.4,0.9261638213054314,0.9335633090408572,0.9241137421189635,1.0,0.9452983096453635,0.8907727803536387,0.9127177381342119,0.9088054274908052,0.8712575779215795,0.9086925555546913
HP.5,0.9135154528374394,0.9420033329063638,0.9214109801263313,0.9452983096453635,1.0,0.925166642975669,0.9296922659482627,0.9012558026314191,0.9065105020514536,0.9193849604924612
HP.6,0.9146855889191895,0.935618436058698,0.9377888155170864,0.8907727803536387,0.925166642975669,1.0,0.9517414312677583,0.9415330587527443,0.9588754679531412,0.948075569815148
HP.7,0.9387241222166474,0.9336603699621095,0.962376611215388,0.9127177381342119,0.9296922659482627,0.9517414312677583,1.0,0.9772445572906905,0.9478087018476864,0.9456493354349707
HP.8,0.9360585940561434,0.934474296712748,0.9684912280782131,0.9088054274908052,0.9012558026314191,0.9415330587527443,0.9772445572906905,1.0,0.9344897813937859,0.941783616100145
HP.9,0.8947167424606787,0.9159257587597557,0.9304916693305939,0.8712575779215795,0.9065105020514536,0.9588754679531412,0.9478087018476864,0.9344897813937859,1.0,0.9303269132155031
HP.10,0.9559225593694173,0.9326178663371795,0.9399332339683838,0.9086925555546913,0.9193849604924612,0.948075569815148,0.9456493354349707,0.941783616100145,0.9303269132155031,1.0
