,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
N1,1.0,0.9781386736685925,0.9804840706678829,0.9332715245677049,0.937998639371532,0.9419045967217078,0.9250238929709722,0.9650134964413816,0.9687602825558497,0.9709292434606487,0.9706226033668779,0.9764536318742292,0.9734840166719204,0.9663978536099792,0.9721302748566006,0.9357717464948468,0.9667901184319422,0.9397868656935566,0.9711202429559131,0.9492616834769196
N2,0.9781386736685925,1.0,0.978002052466951,0.9356151851364874,0.9504184234651081,0.9477082962807438,0.935130029882343,0.9715745469844927,0.9612354819866981,0.9778386200753733,0.9679804240937786,0.9732685773728345,0.972278037417243,0.9720521110291277,0.9709177500140795,0.9460292074041201,0.9726688774135446,0.9411688228905173,0.9691391137008576,0.9562277044467856
N3,0.9804840706678829,0.978002052466951,1.0,0.9414584362004655,0.9459158520228844,0.9454013024226359,0.9254269256880336,0.9671983290303908,0.9603153805022019,0.971062367536493,0.97452744914988,0.9808195480819076,0.9791009513509009,0.9717334274440945,0.974681523256579,0.927787201628045,0.9684970161414654,0.925882243794389,0.9777985643544878,0.9488378723483787
N4,0.9332715245677049,0.9356151851364874,0.9414584362004655,1.0,0.9817170220188816,0.9854843931610388,0.9786202933022976,0.9640710717387735,0.9554842050448346,0.9581106481417337,0.9609526525481221,0.9591063088450824,0.96253878146536,0.9615875148203018,0.9231345506079058,0.9584540492433001,0.957792386792347,0.9339661413942706,0.9688263849065945,0.9588829222850881
N5,0.937998639371532,0.9504184234651081,0.9459158520228844,0.9817170220188816,1.0,0.9833928033890611,0.9804282747719044,0.9720334708035889,0.9552537717432493,0.9654608938831929,0.9607299952448669,0.9609686640756919,0.9650292208721893,0.9708721718915927,0.93333820390255,0.9625700722021315,0.9656245579200058,0.9326140052835852,0.9680905341367069,0.9613612652791044
N6,0.9419045967217078,0.9477082962807438,0.9454013024226359,0.9854843931610388,0.9833928033890611,1.0,0.9806629395039017,0.972670517397087,0.9643905141063297,0.9700670304697061,0.966027070570339,0.9643642180734384,0.9648840353217017,0.9707436090400801,0.929060757921497,0.9663264837815185,0.9636584896078396,0.9419962410452845,0.969278821214013,0.9629852703012918
N7,0.9250238929709722,0.935130029882343,0.9254269256880336,0.9786202933022976,0.9804282747719044,0.9806629395039017,1.0,0.9589800925681261,0.9477611887186788,0.9551874864450169,0.9537644704870922,0.9474191824115957,0.9501498428441558,0.9541034057876038,0.9205102571244341,0.9665110281758148,0.9597076956784258,0.9397167090834555,0.9560661218895575,0.9616975962958455
N8,0.9650134964413816,0.9715745469844927,0.9671983290303908,0.9640710717387735,0.9720334708035889,0.972670517397087,0.9589800925681261,1.0,0.9756156054528128,0.9845023883272328,0.9795181945232296,0.9795734527082754,0.9820614668069308,0.9838388807407458,0.963313822179949,0.9571955839586012,0.9742428538525968,0.9390468257483029,0.9773667095898739,0.9602976800347374
N9,0.9687602825558497,0.9612354819866981,0.9603153805022019,0.9554842050448346,0.9552537717432493,0.9643905141063297,0.9477611887186788,0.9756156054528128,1.0,0.9747688350158075,0.9714420661018477,0.9732619812802482,0.9744179120633611,0.9710330598926232,0.9536052205102323,0.9492812176996569,0.9638617230368689,0.9457018058516099,0.9733664620807491,0.9505936358565775
N10,0.9709292434606487,0.9778386200753733,0.971062367536493,0.9581106481417337,0.9654608938831929,0.9700670304697061,0.9551874864450169,0.9845023883272328,0.9747688350158075,1.0,0.9804090512673111,0.9815372868399612,0.9763797705084584,0.9812937326816872,0.9599047069538644,0.9639635987604159,0.9775836788968006,0.9486179659968428,0.9750954268161774,0.968654827547931
N11,0.9706226033668779,0.9679804240937786,0.97452744914988,0.9609526525481221,0.9607299952448669,0.966027070570339,0.9537644704870922,0.9795181945232296,0.9714420661018477,0.9804090512673111,1.0,0.9814273704225912,0.982126296248294,0.9788681354886826,0.9700462161763531,0.9502562893654047,0.9798081488499765,0.9385042784286203,0.9798324825856719,0.9624682019169563
N12,0.9764536318742292,0.9732685773728345,0.9808195480819076,0.9591063088450824,0.9609686640756919,0.9643642180734384,0.9474191824115957,0.9795734527082754,0.9732619812802482,0.9815372868399612,0.9814273704225912,1.0,0.98515281795283,0.9776970493986493,0.9703795690406127,0.948754585782628,0.9755141342429297,0.9395701085652982,0.9831909308479113,0.9621556581880487
N13,0.9734840166719204,0.972278037417243,0.9791009513509009,0.96253878146536,0.9650292208721893,0.9648840353217017,0.9501498428441558,0.9820614668069308,0.9744179120633611,0.9763797705084584,0.982126296248294,0.98515281795283,1.0,0.981298914252973,0.9721228874933359,0.9463897667270531,0.9752301217512256,0.9337612043833006,0.9863779014827012,0.9591601352064972
N14,0.9663978536099792,0.9720521110291277,0.9717334274440945,0.9615875148203018,0.9708721718915927,0.9707436090400801,0.9541034057876038,0.9838388807407458,0.9710330598926232,0.9812937326816872,0.9788681354886826,0.9776970493986493,0.981298914252973,1.0,0.9610162111411261,0.9506798389271126,0.9768183654374352,0.9287515742626374,0.9777951410574772,0.9557642546744234
N15,0.9721302748566006,0.9709177500140795,0.974681523256579,0.9231345506079058,0.93333820390255,0.929060757921497,0.9205102571244341,0.963313822179949,0.9536052205102323,0.9599047069538644,0.9700462161763531,0.9703795690406127,0.9721228874933359,0.9610162111411261,1.0,0.9165334755296954,0.9649449575221316,0.9229595422416356,0.9673653350777855,0.937553149532506
N16,0.9357717464948468,0.9460292074041201,0.927787201628045,0.9584540492433001,0.9625700722021315,0.9663264837815185,0.9665110281758148,0.9571955839586012,0.9492812176996569,0.9639635987604159,0.9502562893654047,0.948754585782628,0.9463897667270531,0.9506798389271126,0.9165334755296954,1.0,0.9629754882705505,0.9644870099678114,0.9551662019939148,0.9793825717758236
N17,0.9667901184319422,0.9726688774135446,0.9684970161414654,0.957792386792347,0.9656245579200058,0.9636584896078396,0.9597076956784258,0.9742428538525968,0.9638617230368689,0.9775836788968006,0.9798081488499765,0.9755141342429297,0.9752301217512256,0.9768183654374352,0.9649449575221316,0.9629754882705505,1.0,0.9427597882372084,0.9756256210828858,0.9712790073849439
N18,0.9397868656935566,0.9411688228905173,0.925882243794389,0.9339661413942706,0.9326140052835852,0.9419962410452845,0.9397167090834555,0.9390468257483029,0.9457018058516099,0.9486179659968428,0.9385042784286203,0.9395701085652982,0.9337612043833006,0.9287515742626374,0.9229595422416356,0.9644870099678114,0.9427597882372084,1.0,0.9462344814409396,0.9660175618798891
N19,0.9711202429559131,0.9691391137008576,0.9777985643544878,0.9688263849065945,0.9680905341367069,0.969278821214013,0.9560661218895575,0.9773667095898739,0.9733664620807491,0.9750954268161774,0.9798324825856719,0.9831909308479113,0.9863779014827012,0.9777951410574772,0.9673653350777855,0.9551662019939148,0.9756256210828858,0.9462344814409396,1.0,0.9669441510157774
N20,0.9492616834769196,0.9562277044467856,0.9488378723483787,0.9588829222850881,0.9613612652791044,0.9629852703012918,0.9616975962958455,0.9602976800347374,0.9505936358565775,0.968654827547931,0.9624682019169563,0.9621556581880487,0.9591601352064972,0.9557642546744234,0.937553149532506,0.9793825717758236,0.9712790073849439,0.9660175618798891,0.9669441510157774,1.0
