,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
SSA.P.1,1.0,0.9518852607629281,0.9528037646237761,0.9457758803831003,0.940656828726899,0.9415343294731688,0.9313243788521844,0.9475043111169126,0.9417553504433164,0.9382497139142126,0.9465523458505019,0.9466252417568397,0.9245677972683004,0.9005979079640026,0.9568694210848936,0.9600012721271224,0.9406262711528115,0.8903899210905739,0.9379400352375619,0.8250256153344262,0.9352669555650237
SSA.P.2,0.9518852607629281,1.0,0.9594380313418954,0.9640030823351934,0.9771329055130525,0.9378368515665294,0.9609131303509567,0.9501723230568953,0.9529434067536036,0.9411500947562577,0.9573663283635643,0.9400082792308933,0.9451376455786885,0.9318768086692363,0.9762954506636812,0.9465163384104495,0.9354878916219443,0.9361673079122633,0.956015380836701,0.880004987881978,0.9263855850562633
SSA.P.3,0.9528037646237761,0.9594380313418954,1.0,0.9600346765271869,0.9258930088378151,0.9562086379250538,0.9131916162914472,0.927900524343921,0.9263105378124178,0.9263883377593645,0.9199946793020054,0.9321985072496708,0.946075110646906,0.9300093341707134,0.9514326342977405,0.9609676831751566,0.9653291472794001,0.8675867709377737,0.9170300929466285,0.7674532403443665,0.931163303955103
SSA.P.4,0.9457758803831003,0.9640030823351934,0.9600346765271869,1.0,0.9591541440532089,0.936477581872869,0.9372386995119331,0.9295657914228272,0.9376940600537401,0.9303074225505156,0.9379924642397359,0.9341085344323015,0.9444003242924369,0.934228129731514,0.9646936486931955,0.947470344837262,0.9470984109725756,0.8973156788700379,0.9486318994975854,0.8182390872577833,0.9294527014173076
SSA.P.5,0.940656828726899,0.9771329055130525,0.9258930088378151,0.9591541440532089,1.0,0.9252565719409078,0.9665943170808556,0.9480559891268877,0.9440524210704456,0.9301097374160656,0.9592912079054535,0.9251154698693989,0.9407172477558552,0.9310626726738465,0.9716590369829069,0.9243057938261064,0.903484623505538,0.9531431618403349,0.9611722383191136,0.9127760671350915,0.9102993187671226
SSA.P.6,0.9415343294731688,0.9378368515665294,0.9562086379250538,0.936477581872869,0.9252565719409078,1.0,0.9290235276473845,0.9490398924179032,0.9320777709415464,0.9369607252486599,0.9216263666992814,0.9289065298639588,0.952066379217162,0.9250026303415224,0.9386414607719286,0.9335507245477029,0.9322612978502646,0.8893688423147988,0.9121637469156348,0.797904001441348,0.9197543860632901
SSA.P.7,0.9313243788521844,0.9609131303509567,0.9131916162914472,0.9372386995119331,0.9665943170808556,0.9290235276473845,1.0,0.9645307459843089,0.959280499298924,0.9478844491413094,0.9654411827159881,0.9415164114126993,0.9388494339325557,0.9058543336896991,0.9664497696394647,0.9119039499365872,0.8893480828122959,0.9522263057561304,0.9578933142381401,0.925434697331945,0.9227382926077081
SSA.P.8,0.9475043111169126,0.9501723230568953,0.927900524343921,0.9295657914228272,0.9480559891268877,0.9490398924179032,0.9645307459843089,1.0,0.9597423096087544,0.9531809712089007,0.9588768048881536,0.9529896326900369,0.9353676175272204,0.9077515506931283,0.956557102075227,0.935675469486562,0.9116438850718557,0.9268038624792606,0.937773198313504,0.8757367333549144,0.9290620533328486
SSA.P.9,0.9417553504433164,0.9529434067536036,0.9263105378124178,0.9376940600537401,0.9440524210704456,0.9320777709415464,0.959280499298924,0.9597423096087544,1.0,0.9880493224624425,0.9704040564413272,0.9647200277054628,0.9238498317842019,0.9029588116455666,0.9590980924044563,0.9398171992794049,0.915988557356776,0.9205698431414102,0.950383725746086,0.8775955941817427,0.9485427718975039
SSA.P.10,0.9382497139142126,0.9411500947562577,0.9263883377593645,0.9303074225505156,0.9301097374160656,0.9369607252486599,0.9478844491413094,0.9531809712089007,0.9880493224624425,1.0,0.9605500563807365,0.9559352589278124,0.9310312147772405,0.90387370443662,0.9489550500780713,0.9345090216943088,0.9095793616861932,0.9116066485997393,0.9459972304835959,0.8593088137245383,0.9470146282363627
