,CR.1,CR.2,CR.3,CR.4,CR.5,CR.6,CR.7,CR.8,CR.9,CR.10
CR.1,1.0,0.9742267840246431,0.9690003268852301,0.959554927302914,0.9431304735204817,0.9617536222311853,0.9394009941311235,0.9625139907975359,0.9563281187049688,0.9465571840754113
CR.2,0.9742267840246431,1.0,0.9749434742949673,0.9676016810796227,0.9504025902839999,0.9716813986809589,0.9369565477145081,0.9665490846103411,0.9605470211513983,0.948112359742776
CR.3,0.9690003268852301,0.9749434742949673,1.0,0.960506260225452,0.9564784797938782,0.9733804107197208,0.9399268879423749,0.9610882640612856,0.9543133866286,0.9530036250790954
CR.4,0.959554927302914,0.9676016810796227,0.960506260225452,1.0,0.9670501211851613,0.9653039200863247,0.9597665261931727,0.9758607377768095,0.955058095133804,0.963599145973764
CR.5,0.9431304735204817,0.9504025902839999,0.9564784797938782,0.9670501211851613,1.0,0.9684472205508422,0.9703957331230277,0.9605168838780157,0.9312846307071682,0.9748493218374992
CR.6,0.9617536222311853,0.9716813986809589,0.9733804107197208,0.9653039200863247,0.9684472205508422,1.0,0.9576233202473011,0.9628334511894436,0.9515987236855006,0.9668912177322688
CR.7,0.9394009941311235,0.9369565477145081,0.9399268879423749,0.9597665261931727,0.9703957331230277,0.9576233202473011,1.0,0.9600625309407941,0.9257467762808672,0.9725247242726938
CR.8,0.9625139907975359,0.9665490846103411,0.9610882640612856,0.9758607377768095,0.9605168838780157,0.9628334511894436,0.9600625309407941,1.0,0.9553264422717039,0.9649555097672692
CR.9,0.9563281187049688,0.9605470211513983,0.9543133866286,0.955058095133804,0.9312846307071682,0.9515987236855006,0.9257467762808672,0.9553264422717039,1.0,0.9302880063518437
CR.10,0.9465571840754113,0.948112359742776,0.9530036250790954,0.963599145973764,0.9748493218374992,0.9668912177322688,0.9725247242726938,0.9649555097672692,0.9302880063518437,1.0
