,GSM3304959,GSM3304960,GSM3304973,GSM3304975,GSM3304984,GSM3304985,GSM3304993,GSM3305051,GSM3305089,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
GSM3304959,1.0,0.9514884479114473,0.9521043025236624,0.9461927099694916,0.9465812337513688,0.9562659042832791,0.9151846555436711,0.9458334816477288,0.938878644850074,0.9336533746446082,0.9489529938948698,0.9386927511883766,0.9418453383166718,0.9409171392703353,0.9297963421078225,0.940336964531752,0.9346613019850246,0.9315383741727498,0.9226816543348126,0.9298713844047857,0.9263392051001208,0.9323267909844339,0.9188917537639312,0.9501067894977709,0.9306893860462314,0.9200407998952083,0.8801778538864923,0.9280014268062989,0.8336526147360089,0.9227193574805921
GSM3304960,0.9514884479114473,1.0,0.9524776782168564,0.9462754257022609,0.9192426837481608,0.9386810361289973,0.8681645618400806,0.9310187400340879,0.9214695630811468,0.888612705852884,0.8971989081896365,0.9058632597555025,0.9021895212703706,0.8894244180474483,0.8903675463363013,0.8913751460772027,0.8862727085856752,0.8685622443234677,0.8616947748699277,0.8728455880732913,0.8726891354389459,0.8968324038145258,0.8941989088284877,0.9018062158725071,0.8832030042396761,0.8759454353373971,0.8046840636391533,0.8746653861239387,0.7627637402884964,0.8837555910882988
GSM3304973,0.9521043025236624,0.9524776782168564,1.0,0.9349509449697633,0.9404326290981884,0.9503114102731307,0.906839108779068,0.9503412789454053,0.929198179129544,0.9040737768779445,0.9212468089368316,0.9158880498594034,0.9183703247732923,0.9234044112389677,0.9248881214211631,0.9228481456149354,0.9237123627370811,0.9074730198535631,0.9038321757675736,0.9098369352914305,0.8972490869289765,0.9308712372159833,0.9257892401965965,0.9265318678622008,0.9000673108345785,0.8830451626107539,0.8608027682842536,0.9095687547660605,0.816944932346631,0.8970209374674794
GSM3304975,0.9461927099694916,0.9462754257022609,0.9349509449697633,1.0,0.9160504762903411,0.9248208773984438,0.8707678836866595,0.9268100721972032,0.9273871008404003,0.9199781882428439,0.9101870604841799,0.9191913682650897,0.9090540412148282,0.9001892065911862,0.9073146959112507,0.9038055289476088,0.9056550318751979,0.8971355246085659,0.8942604072549233,0.8998983852617367,0.9068905238422847,0.9002720326588873,0.8888395901947395,0.9151631898817117,0.9088926493572721,0.8954106460354376,0.8276922154381835,0.8940780845141517,0.784940036518434,0.9137026474241396
GSM3304984,0.9465812337513688,0.9192426837481608,0.9404326290981884,0.9160504762903411,1.0,0.9461579903853561,0.9062680028701036,0.948801412343438,0.9356608240966356,0.9239015805891501,0.9407020376178189,0.9127436157688923,0.9345272069891728,0.9433708855157685,0.9084676976161009,0.9420967847074109,0.9269245551551033,0.9342027519543916,0.926635391285832,0.9395655658615726,0.9191478569168708,0.9221351167154073,0.9048889050011409,0.9481883955883458,0.9110806472595713,0.8900101269139777,0.8878355233336755,0.9372922906526558,0.8652458758237869,0.9200539007426147
GSM3304985,0.9562659042832791,0.9386810361289973,0.9503114102731307,0.9248208773984438,0.9461579903853561,1.0,0.9029976957195232,0.9452955334394346,0.9313205388783583,0.9109886316511874,0.9356117118212584,0.922864456784484,0.9389230910270345,0.9308784592465069,0.9185815361114417,0.9254080886426194,0.9152859955556303,0.922355910856049,0.9131102371141393,0.9168110551020693,0.9106368826069833,0.9205284506700322,0.9155674558550304,0.9374131208146385,0.9102289883408707,0.9054109449497211,0.8643120493891466,0.9160935268802781,0.8162334792520872,0.9163937092028444
GSM3304993,0.9151846555436711,0.8681645618400806,0.906839108779068,0.8707678836866595,0.9062680028701036,0.9029976957195232,1.0,0.8954353324288342,0.8617708767400957,0.9145427752734872,0.944648168948291,0.9224324685952008,0.9358679365904095,0.9483759522409826,0.9187200856205324,0.9332313180326733,0.9270166376699336,0.921300153367667,0.9177919694978944,0.9286199861435016,0.9001454233911209,0.950110930917031,0.9463799349667302,0.9467284126610583,0.9173617442894175,0.8899232756549458,0.94164574661347,0.9472307180458511,0.8622051029772789,0.8880031284094282
GSM3305051,0.9458334816477288,0.9310187400340879,0.9503412789454053,0.9268100721972032,0.948801412343438,0.9452955334394346,0.8954353324288342,1.0,0.9511297210995143,0.9060156889376458,0.9230377376542461,0.9044811126894277,0.9190247427480176,0.9270214479906819,0.9080970637496117,0.9277916495705969,0.9162282513270732,0.9175231845861134,0.915320813834572,0.9174892779867587,0.8981571338372869,0.9186518157411221,0.9126280368416358,0.9277619681149937,0.8902976988614651,0.8743049069410312,0.8691167197741518,0.9168508126583291,0.8434902902265818,0.9186836283750808
GSM3305089,0.938878644850074,0.9214695630811468,0.929198179129544,0.9273871008404003,0.9356608240966356,0.9313205388783583,0.8617708767400957,0.9511297210995143,1.0,0.9016302617676477,0.9044560450359451,0.8871741242157852,0.9000412963568477,0.9019737954606059,0.8880273456276332,0.921124245626406,0.9137084175185735,0.9241752337115153,0.9194139213753668,0.9194636538882522,0.9142757817562034,0.8847132134181773,0.8734947942056153,0.9149157410717289,0.8921506453089506,0.8647931183615777,0.8389966836484241,0.9019024089892712,0.8306488744550073,0.9301071363567547
SSA.P.1,0.9336533746446082,0.888612705852884,0.9040737768779445,0.9199781882428439,0.9239015805891501,0.9109886316511874,0.9145427752734872,0.9060156889376458,0.9016302617676477,1.0,0.9517777088896429,0.9527853943129261,0.9457615308809186,0.9406372014130143,0.9414842640012611,0.9312347149739575,0.9474125683364902,0.941634178920282,0.9382495584606997,0.946549085538794,0.9465393461209879,0.924438512731558,0.9006218993994289,0.9568975076249877,0.9598718820984706,0.9404769028231924,0.8901412404109709,0.9380955109607916,0.8251418177103076,0.935420594941313
