,Ca_2,Ca_1,TSA_2,FAP_2,GSM3304973,GSM3304975,GSM3304984,GSM3304993,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
Ca_2,1.0,0.8835794231622084,0.8073573989163775,0.8266224238657186,0.746666167125948,0.7027338396396687,0.7830964521503806,0.8378983484024862,0.7967620007592063,0.8286185043063341,0.7920834872425229,0.8186631688378595,0.8341592778469138,0.7911545062654345,0.8173208430552618,0.8108711483134967,0.8208599009352137,0.8180341466242355,0.8213246842969747,0.7952048094013572,0.8215766879666175,0.8075626964278838,0.8321477347061405,0.8014096166549725,0.7848023757670265,0.8501422586393602,0.8255040137076809,0.7826520980631105,0.7985228409533515
Ca_1,0.8835794231622084,1.0,0.8755531732047844,0.8872633657487893,0.8176406206041973,0.7806609060857196,0.8450922082175704,0.8992417699863656,0.8681030868753528,0.9034554344275685,0.8773080219409569,0.8967831498943216,0.8958214229312517,0.8645485716283171,0.8720860376085896,0.8723692879568786,0.8944897219823145,0.8890605415884129,0.8847128161392197,0.8695074334558288,0.883730339904743,0.8804296843150009,0.8998660592880255,0.8874415627253333,0.8731775565741707,0.8924521046105368,0.8907713553969702,0.8028115231413355,0.859213750087967
TSA_2,0.8073573989163775,0.8755531732047844,1.0,0.9615898481547849,0.9093896688808906,0.9135907037715657,0.923514448408975,0.9331754655728391,0.9492288359274988,0.9566249978383576,0.9384608025944963,0.9417528061310363,0.952525219629746,0.9447900900507655,0.9536352100549469,0.9488900683538583,0.9513987307371675,0.9461439118922322,0.9532703843934949,0.9408657978496615,0.9407242465870724,0.9213456827971805,0.9587703329445892,0.9364153463813824,0.9168338454794813,0.9297612189766162,0.9471037187004596,0.8695676908745323,0.9320243728670368
FAP_2,0.8266224238657186,0.8872633657487893,0.9615898481547849,1.0,0.8972017986428926,0.864322184318125,0.9087700003079897,0.9459976644976137,0.9104611126034338,0.943921066443462,0.9132581622303734,0.926221974510674,0.9477000184816079,0.932875577078952,0.9488639313625521,0.9326018547014167,0.933020894636736,0.9330334540731483,0.9344339342881374,0.9071401961143643,0.9495860498472977,0.9243079964443953,0.9473336088364906,0.8998572152071408,0.8809791660947928,0.9534135890627662,0.9465393732551821,0.8841459188283275,0.8970585254986758
GSM3304973,0.746666167125948,0.8176406206041973,0.9093896688808906,0.8972017986428926,1.0,0.9346123417949184,0.9405283218451865,0.90689352377141,0.9041304954956667,0.9211128323066632,0.9156012160006853,0.9181681148947671,0.9232964948184299,0.9251039130313073,0.9227067183338004,0.9237728968563941,0.9074398904096994,0.9038371250082559,0.9095903933821189,0.8971601628351862,0.9308678937779655,0.925200329600695,0.9263893463769007,0.9000715526357965,0.8830302969289416,0.8610819532839157,0.9091092593875226,0.816640651350102,0.8963621518284955
GSM3304975,0.7027338396396687,0.7806609060857196,0.9135907037715657,0.864322184318125,0.9346123417949184,1.0,0.9161751345945348,0.8713634894675654,0.9201455801140624,0.9104661792512687,0.9193087691097813,0.9093100054743014,0.9004837846480711,0.9072397592246195,0.9039112135682251,0.9054867518798176,0.8973150074924884,0.8943570903543479,0.9000204827337115,0.9068698998994851,0.900598049650565,0.8890910551369523,0.9153804198573977,0.9091258155566407,0.895483376564866,0.8282459170758296,0.8944038357754,0.7852123525486887,0.913727817500605
GSM3304984,0.7830964521503806,0.8450922082175704,0.923514448408975,0.9087700003079897,0.9405283218451865,0.9161751345945348,1.0,0.9063931102368206,0.9239602420688867,0.9407221569843871,0.9126833617483855,0.9344871568015278,0.9433595554752577,0.9086092130448749,0.9421137463845727,0.9271501086559929,0.9343005563493104,0.9267299116225897,0.9395269085050787,0.9192070253576315,0.9222855059181047,0.9046729301626806,0.9481882593250222,0.9111419581156565,0.8901126330899403,0.8880713869272328,0.9371233414884984,0.8652035672128042,0.9198863084011387
GSM3304993,0.8378983484024862,0.8992417699863656,0.9331754655728391,0.9459976644976137,0.90689352377141,0.8713634894675654,0.9063931102368206,1.0,0.9146531608998159,0.9449114218988325,0.9225368607670422,0.9359406933690276,0.9485120719792727,0.9185620260096933,0.9334130648615253,0.9270948998633941,0.9214723092013158,0.9179694221665059,0.9286331717881136,0.9001574210298554,0.9500986312039295,0.9463508781285684,0.9469485572797811,0.917451664872157,0.8900333237744985,0.941594728437868,0.9472136750232412,0.8621769670982846,0.8882242865855734
SSA.P.1,0.7967620007592063,0.8681030868753528,0.9492288359274988,0.9104611126034338,0.9041304954956667,0.9201455801140624,0.9239602420688867,0.9146531608998159,1.0,0.9518852607629281,0.9528037646237761,0.9457758803831003,0.940656828726899,0.9415343294731688,0.9313243788521844,0.9475043111169126,0.9417553504433164,0.9382497139142126,0.9465523458505019,0.9466252417568397,0.9245677972683004,0.9005979079640026,0.9568694210848936,0.9600012721271224,0.9406262711528115,0.8903899210905739,0.9379400352375619,0.8250256153344262,0.9352669555650237
SSA.P.2,0.8286185043063341,0.9034554344275685,0.9566249978383576,0.943921066443462,0.9211128323066632,0.9104661792512687,0.9407221569843871,0.9449114218988325,0.9518852607629281,1.0,0.9594380313418954,0.9640030823351934,0.9771329055130525,0.9378368515665294,0.9609131303509567,0.9501723230568953,0.9529434067536036,0.9411500947562577,0.9573663283635643,0.9400082792308933,0.9451376455786885,0.9318768086692363,0.9762954506636812,0.9465163384104495,0.9354878916219443,0.9361673079122633,0.956015380836701,0.880004987881978,0.9263855850562633
