,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,NS_2,NS_1,AP.7,AP.8,AP.9,AP.10
T1,1.0,0.9153400306474819,0.9507267132441473,0.8973804473922462,0.9233707395308035,0.8985804284832176,0.9621717106628687,0.8751144240313264,0.9041073618994088,0.878246118594391,0.9591045059693992,0.891786845319963,0.8937083592185212,0.9048002651835834,0.9023353573278852,0.8872748999497008,0.8888376024060145,0.9114013377509284,0.8475614625916394,0.8774466295257186,0.9523847350975259,0.9398526132157944,0.9244345610225938,0.9345823483783107,0.9338447724756168,0.9568676705108774
T2,0.9153400306474819,1.0,0.9343510225724134,0.9190031829664634,0.9296816927062183,0.9187122971725206,0.8887633121100079,0.9104825921098816,0.9055789060715362,0.9027658663010898,0.902958683173366,0.9086303928191316,0.904004137994567,0.8915736052551465,0.9200412440388477,0.9233627012985817,0.9250274364013316,0.9389547921694356,0.8841489574157149,0.929117868121606,0.9006393005040709,0.9070617938742193,0.8904696004435197,0.9118468018097456,0.9140613515538847,0.9226384647785331
T3,0.9507267132441473,0.9343510225724134,1.0,0.9259545787162946,0.93465024380916,0.9361568829522909,0.9327506831780966,0.9085552453534422,0.920204491467346,0.9177239432273794,0.9356585920599901,0.9121702695841595,0.9174236513769025,0.9065096589904378,0.9342100907572675,0.9207771601451445,0.9281371922647552,0.9414889324258766,0.8973826238724865,0.9166928149105744,0.9348547506513302,0.937005902983149,0.9197860094520522,0.9330594886681366,0.9364852131282845,0.9451944610072142
T4,0.8973804473922462,0.9190031829664634,0.9259545787162946,1.0,0.8895020668063397,0.937628210363754,0.8566883751979458,0.9196832450139258,0.9151816114660015,0.9298243950400421,0.8932475726819249,0.9040432092814029,0.9061406024315818,0.8855057192520986,0.9155486471949729,0.8980334626892141,0.9211497796343205,0.9157067821468015,0.8861783555322151,0.9193897117527265,0.8729187844985272,0.8674831432117711,0.8711942268129632,0.8759681701035977,0.8833140568533037,0.8864115597895988
T5,0.9233707395308035,0.9296816927062183,0.93465024380916,0.8895020668063397,1.0,0.9045519400427022,0.8994929681195576,0.9020339497324327,0.895230437546997,0.9111687652870474,0.9058770430986205,0.9135678624360708,0.9209974046461915,0.9008541990913522,0.9174919916352288,0.9217361440773011,0.9235226450804029,0.9510143505109456,0.8949095369436727,0.9076373998937637,0.9178053150544798,0.9221616628932928,0.9066837968426156,0.9335716565864054,0.9340052110373348,0.9315146069475478
T6,0.8985804284832176,0.9187122971725206,0.9361568829522909,0.937628210363754,0.9045519400427022,1.0,0.8628418105044123,0.9223769028944073,0.9145579591369533,0.9270372919474075,0.8819820981860893,0.8910646822069581,0.9222269068154455,0.8707555542185622,0.9273329086423756,0.9033129451675593,0.934970945552764,0.9246356107202375,0.9011051459353089,0.9173867402727602,0.8729953927636162,0.8701078676647305,0.8763426524440817,0.8827955354012902,0.8956136627250209,0.8992595188718306
T7,0.9621717106628687,0.8887633121100079,0.9327506831780966,0.8566883751979458,0.8994929681195576,0.8628418105044123,1.0,0.8312065485023401,0.8821763964383597,0.8411487892236283,0.9579352593387062,0.864166695844217,0.8595089342928806,0.8855397369541742,0.8754048431652297,0.8489616998248162,0.8591998651922208,0.8713880888752366,0.8210394440512184,0.8369655654175768,0.9537417194053045,0.9443798589951564,0.9150566990958504,0.9238147452447373,0.9243796402289275,0.9463029748030712
T8,0.8751144240313264,0.9104825921098816,0.9085552453534422,0.9196832450139258,0.9020339497324327,0.9223769028944073,0.8312065485023401,1.0,0.8997794008999214,0.9236912309383152,0.8607627082093828,0.8952771803108545,0.89907482813859,0.8704134903065192,0.9036688383990055,0.9046658103967316,0.9149676575049477,0.922355532385007,0.888729908558572,0.9196126690869312,0.8510031465396019,0.8530992451275529,0.8702917322858772,0.861424540105664,0.884242009674691,0.8704036380607184
T9,0.9041073618994088,0.9055789060715362,0.920204491467346,0.9151816114660015,0.895230437546997,0.9145579591369533,0.8821763964383597,0.8997794008999214,1.0,0.9048339923632212,0.8999555927042213,0.8970711979313386,0.8988305902939031,0.9034421889950938,0.9125976870039274,0.899709182783146,0.9029113223107773,0.9084564860099358,0.8934866765797913,0.8896630074950289,0.8689135600583273,0.8737475935618715,0.8645798876692972,0.8809813701804377,0.877002422459111,0.8995003713514819
T10,0.878246118594391,0.9027658663010898,0.9177239432273794,0.9298243950400421,0.9111687652870474,0.9270372919474075,0.8411487892236283,0.9236912309383152,0.9048339923632212,1.0,0.8694374857065053,0.8964443730004077,0.9182794339506211,0.8751072894069112,0.908062498883198,0.9071918266117323,0.9370614467900698,0.9246023170344729,0.9201656680152365,0.9190227044566043,0.8687455495235777,0.8680849023128709,0.8732696176437659,0.8830082855293488,0.8882225397790683,0.8833387970506859
