,AD2,AD3,AD4,AD5,AD7,AD8,AD9,AD19,AD20,GSM3304958,GSM3304961,GSM3304962,GSM3304963,GSM3304964,GSM3304965,GSM3304966,GSM3304967,GSM3304970,GSM3304971,GSM3304974,GSM3304977,GSM3304980,GSM3304981,GSM3304982,GSM3304983,GSM3304986,GSM3304987,GSM3304989,GSM3304991,GSM3304992,GSM3304995,GSM3304996,GSM3304997,GSM3304998,GSM3304999,GSM3305000,GSM3305001,GSM3305002,GSM3305003,GSM3305005,GSM3305007,GSM3305009,GSM3305011,GSM3305013,GSM3305014,GSM3305015,GSM3305016,GSM3305017,GSM3305018,GSM3305019,GSM3305022,GSM3305023,GSM3305024,GSM3305026,GSM3305027,GSM3305028,GSM3305029,GSM3305030,GSM3305031,GSM3305032,GSM3305033,GSM3305034,GSM3305035,GSM3305036,GSM3305037,GSM3305038,GSM3305039,GSM3305040,GSM3305041,GSM3305042,GSM3305043,GSM3305044,GSM3305045,GSM3305046,GSM3305047,GSM3305048,GSM3305049,GSM3305052,GSM3305053,GSM3305054,GSM3305055,GSM3305056,GSM3305057,GSM3305058,GSM3305059,GSM3305063,GSM3305065,GSM3305066,GSM3305067,GSM3305070,GSM3305071,GSM3305072,GSM3305073,GSM3305074,GSM3305075,GSM3305077,GSM3305079,GSM3305080,GSM3305081,GSM3305082,GSM3305087,GSM3305090,GSM3305091
AD2,1.0,0.9533140181018231,0.9400441388369684,0.9519244802189673,0.9238593217033388,0.8956451118008689,0.9263356963876235,0.9318392227435474,0.9443632504498614,0.8551212514665366,0.9357131860900437,0.9548941462485807,0.9281308051145752,0.9357436864433135,0.9101956058828462,0.9017835833787516,0.8824697443973327,0.8844644464812913,0.8677254568367603,0.939460628820318,0.8838700009042252,0.9244930191690964,0.9150341688908131,0.9125798521780728,0.9249294423451468,0.8917523518591166,0.9340072298135528,0.9295808100197216,0.9050671989323525,0.943812537702735,0.9358440348195772,0.9003956257429135,0.9299591258912993,0.9124705673265728,0.9506434109759475,0.9238140998553028,0.9065603305008396,0.9264965389780411,0.929353237959422,0.9162016298419369,0.896150412538121,0.9175427177490011,0.9100826030766545,0.9371045269109559,0.9247460459929282,0.8736916996871642,0.9346019740837942,0.9416304928606769,0.9198268456621482,0.8826772658737911,0.8275106096873475,0.9084766341868683,0.9110640127568979,0.9247860689126187,0.8576648549966397,0.9247245887572978,0.9170464158327885,0.934038372223167,0.9310821452888499,0.9259867359062653,0.9282078449022371,0.9362432874156543,0.9079092056590062,0.9429333597812379,0.9219534381513417,0.9386141713919647,0.9404799220048498,0.9153720969270142,0.9179235206053228,0.9408484789351791,0.9079025712616462,0.9210509829294572,0.7927830569932117,0.8649299300101321,0.9190580877755752,0.9075689985910218,0.9553602803682333,0.9199613315505175,0.8824104548892568,0.9429178384272653,0.9252429796861702,0.9082168711389568,0.8835961079602923,0.9176333542371421,0.9383954147558857,0.916333688543501,0.9349848517418958,0.8705303418596071,0.8882348977506935,0.9429102369561136,0.9210019026592295,0.9249063955935436,0.884029845835496,0.9218905725727742,0.9391109375027187,0.9291785492413837,0.9128230447119587,0.9305683079483084,0.9139457366924573,0.8485276080270827,0.9419346040697517,0.8944360544590384,0.9149814882081047
AD3,0.9533140181018231,1.0,0.9523993199081513,0.9475811546580091,0.9500392555040232,0.92657421159153,0.9396788135651638,0.9432394198210629,0.9618722897701942,0.8598054118475419,0.9511810747805001,0.9541595382510236,0.9228582938019637,0.9419020272399204,0.9144553572734434,0.9005413690627527,0.8860921615916412,0.8705264277468099,0.8809663255681405,0.9418450466076866,0.9045042194535047,0.9286349335431633,0.9184564350533062,0.9235105571933893,0.9275434593154854,0.9116381071131027,0.9370840360242936,0.9392232638893427,0.9227169247370408,0.9510713545132463,0.9330317242984478,0.9106063528453117,0.9336244962580506,0.9167481067864177,0.9346328840007795,0.9256793374908284,0.9219686722665467,0.9388510447772935,0.9312051296229978,0.9396681147639516,0.9142036906632772,0.9200399042300619,0.9145846309340543,0.9391591035838149,0.9226269325895367,0.8829115279232169,0.9416350673590677,0.9440184949661501,0.9420663873109301,0.9030901033823012,0.8541939991211698,0.9074236259195636,0.9274012374792406,0.9204038948986313,0.8737921066972564,0.9155124733406617,0.9287029119663033,0.9452550940031041,0.9333363702844979,0.9279171834082213,0.9491231470564089,0.9492477813304524,0.917157461538653,0.936279049498833,0.9287471973204119,0.9331500181185163,0.9375655845095773,0.9152363774494485,0.9087104103958872,0.934249222078159,0.910674725501052,0.9211113245078623,0.8222461206937873,0.853100071947997,0.9251755911265915,0.9110188266832945,0.949035554623801,0.9123664692516426,0.9060341970183139,0.9423982770621895,0.9313153027292248,0.9109849994176116,0.8994167931177163,0.9350956621931145,0.9474013359632061,0.9350985174650721,0.9362533963697782,0.8989167491793769,0.9174113248692065,0.9491121146112518,0.9321637506327329,0.9248778997890851,0.8932897055243885,0.9243918576616688,0.9478905484027219,0.925506867215918,0.9196619752604832,0.9314840492783107,0.9224285711304713,0.8678350817348128,0.9376413455273779,0.8846850493581396,0.9270755741101123
AD4,0.9400441388369684,0.9523993199081513,1.0,0.9549346949288815,0.9621825392733805,0.9419104412217433,0.9422564519899362,0.9371482204851138,0.9496150042450929,0.8832516887342834,0.9535342789388543,0.9527480354815324,0.941531398264337,0.9263776736785709,0.9474804373575656,0.9309297205624537,0.9235473103189548,0.860634994890599,0.9149587549207011,0.951154040154326,0.9177594302455306,0.9414994459742824,0.9506512139095947,0.9280778168705857,0.9509688329019748,0.9418683193175252,0.9415480443961235,0.9265193429906469,0.933363990661409,0.952285253483874,0.939652226923842,0.9194432625091725,0.9468277354204666,0.9398242507953333,0.9418209295498537,0.9076973351536857,0.9444923480387635,0.9614851065781317,0.9582644619880423,0.9428975462795194,0.9451731203967833,0.9353337081342062,0.9500066161636562,0.9559071350336155,0.924298847277723,0.9147044600895389,0.9294498036026391,0.9469920219713107,0.9440329821727018,0.9298151761801592,0.8920981656510321,0.9200891684791637,0.9521703670041719,0.9332591595318384,0.8977528196397332,0.9389567878775965,0.9530599251834256,0.95629267519357,0.9423295327367259,0.9475431330583706,0.9379929797124067,0.9469052504727016,0.9513717135581564,0.9381932918417363,0.9471905761894985,0.9501442824896896,0.9570034858573333,0.942929061116627,0.9339344226656702,0.9478406831870805,0.9348763569974314,0.947517311160753,0.8561609984728926,0.8939808961275059,0.9457287451629528,0.9409053894517214,0.9423885301519132,0.9293321377432945,0.9213185423326937,0.9585310549709266,0.9430491938523545,0.9352509670221644,0.9310934254534206,0.9525328920631494,0.9620779200778086,0.9329989760588409,0.9493026463840933,0.9348582063681741,0.9145122673177523,0.9479500527495816,0.9408691614333267,0.9494574715117718,0.9189094240155563,0.950243946407434,0.9507577366564124,0.9483240722243672,0.9410042398154881,0.9397509446064705,0.9360672283638767,0.9110814617295511,0.9460404802413237,0.8804982487018622,0.9425697727130635
AD5,0.9519244802189673,0.9475811546580091,0.9549346949288815,1.0,0.9446439848216124,0.9237020962073247,0.941162845013036,0.9385721263959129,0.9351955887660295,0.8567683347833303,0.9464493671419535,0.9510269545107296,0.9185526434903234,0.9252426103666322,0.924607982502054,0.9056677077184048,0.9045364431954515,0.8759345781200161,0.8891861173076167,0.9322483509609831,0.8956074886894233,0.9305971193310352,0.9323406629170838,0.9296070435017748,0.9286808451815641,0.9163724659198984,0.9379218161402498,0.9211245234504631,0.9203535094793598,0.9441077117062588,0.9452242263619987,0.9079091667821094,0.9303966553347088,0.9208712912215352,0.9387043536134498,0.9279919086477482,0.9114884747857165,0.9375956522255833,0.934090796746661,0.9364354568503206,0.9182622355747111,0.9147695409868059,0.926803500072317,0.9451964811562039,0.9134817382268121,0.8803098002035481,0.92386789937996,0.9440382252933166,0.9387358996014947,0.9021642780551659,0.8570366243638775,0.9217412751413008,0.9252358811985993,0.9393350534782715,0.8776978635645142,0.921548274707473,0.933493148053741,0.9413279852686868,0.9321182022736743,0.9438408149454526,0.9221855579025444,0.93196787347327,0.9223151663547374,0.9288976829243001,0.927649799922943,0.9312736575611911,0.9388344682340541,0.9356337038613366,0.9252763366951515,0.933855194542511,0.9188619249807422,0.9323307829742395,0.8208920206234509,0.8879163156271225,0.9352425585698663,0.9131098206797769,0.9460989812951811,0.9172652627478309,0.8979529758331706,0.9499176446390252,0.9309275753978833,0.919463801118873,0.9008694161732049,0.929203145314202,0.9432529881106572,0.9190175037381644,0.9385640061982335,0.8953850587961016,0.9021626174955077,0.9396971400574686,0.9255378963993157,0.9240726929447356,0.8935477400933853,0.9272920269935336,0.9431893642513951,0.9380761867377002,0.9216575689597142,0.929164803139406,0.9194191138281689,0.8771764430710876,0.9419264516888107,0.8907157067788609,0.9195882014835872
AD7,0.9238593217033388,0.9500392555040232,0.9621825392733805,0.9446439848216124,1.0,0.9589121444455231,0.9529020495536779,0.9431043813316494,0.9409221938640944,0.8896308208453757,0.952422430905474,0.9513324095315926,0.9229337892488265,0.9206980694364406,0.940663575032445,0.9309952716120915,0.9063246785254759,0.830674851823731,0.9133688446053968,0.9492046878058226,0.917846752835135,0.9353766394081937,0.9407376582321006,0.929791459109586,0.9447423276936157,0.9465860805886555,0.9262336013569464,0.9217402064988707,0.9478478610483158,0.9487304765166494,0.927199204860528,0.910690515297801,0.9425786461561106,0.9293021169266636,0.9217956810961292,0.9066202591440017,0.948979385162413,0.9506588248968004,0.9413812550352223,0.9419064411130305,0.9480636963876055,0.9357839298246611,0.9399810500841468,0.9467346475462994,0.9309419102322585,0.8938531334328667,0.9293023021025948,0.9396375892505208,0.9371268272755593,0.9366801889642331,0.9060512692200239,0.9214302320112921,0.9580611529606358,0.9263185848093276,0.8931508712386321,0.9219059259873381,0.9527446598467032,0.9536895725386311,0.9250698717642583,0.940847652691299,0.9399765491718147,0.9371550348418723,0.9462725094444997,0.9256787320380707,0.9428426430573318,0.9346075309651274,0.9494691749348293,0.9381656557273695,0.9153725358405904,0.9372949117972168,0.9314129915852959,0.935226722626021,0.8669931990190025,0.8640203725228089,0.9345269863538294,0.938266069881366,0.9356103039175182,0.9083252064112687,0.938290822922401,0.9519518449692993,0.9478300932741262,0.9299756435426292,0.9292258527715317,0.9460527511078337,0.9547275879306615,0.9131371882360544,0.9286030941937886,0.9376515662635625,0.9298455170557856,0.9556729310744004,0.9574915134081045,0.9398925892031632,0.9269251719762396,0.9436128431175369,0.948382920754218,0.9315453276142154,0.9440036540347477,0.9537697108753748,0.9430713635290843,0.9184547295710642,0.9378988642197212,0.8664675090131465,0.9449610050219234
AD8,0.8956451118008689,0.92657421159153,0.9419104412217433,0.9237020962073247,0.9589121444455231,1.0,0.9284466922729862,0.9118323778989552,0.9215933903139553,0.8771512676666129,0.9282770352796902,0.9264350093590074,0.9058204623438245,0.8950726901670802,0.9331180555711109,0.9247275262308298,0.8890530558127392,0.7967821805555678,0.9015810538880381,0.9289741153483059,0.9116360831752628,0.8976072431940317,0.9222680798872634,0.9191980862871154,0.9192403273534153,0.9312533130229829,0.9064308510178101,0.8819424440642836,0.9258849691108125,0.9323149244949728,0.8972142406576535,0.8802797527002337,0.9291776897050423,0.9182069826910775,0.8933097828553149,0.8827745230590299,0.9268582519930899,0.9267543530798897,0.9263754631920281,0.9249860889820062,0.9313664020996445,0.9112657855263855,0.9263154136516009,0.9373170076188246,0.897148435584834,0.8920987279493361,0.9069324857844921,0.9222368689983016,0.9147659997902086,0.9238219114538856,0.9012929108536777,0.9090335910688105,0.9347108035264922,0.9036104729365625,0.8971885897689623,0.8841539270856817,0.931177757130233,0.9309176163394557,0.9174305544421736,0.9220681655487586,0.9167903919736027,0.9077918127341473,0.9319009363524374,0.8863703954870471,0.9212568060346317,0.9083512187178235,0.923952153572042,0.9162135719021498,0.8929434387287672,0.9062316079152867,0.9143199601940762,0.915410395343337,0.8619301211519318,0.84028580436981,0.9102449113645213,0.9243835223671244,0.9061946775044821,0.8801797954595972,0.9173472684330828,0.9232433146148977,0.9179035512950623,0.9087901470046966,0.9182759693107605,0.9342509029164018,0.9281236356656855,0.8996950594160273,0.9137682363895504,0.9230743174251399,0.9057496063219665,0.9247847472738402,0.9201573835407035,0.9263762961844543,0.9119965237461827,0.9238960266391237,0.9216599650944216,0.9102963141175049,0.927945643053871,0.9195068172027011,0.9207843702610256,0.9143942150286422,0.9294849219656739,0.8245171803247517,0.934776757737238
AD9,0.9263356963876235,0.9396788135651638,0.9422564519899362,0.941162845013036,0.9529020495536779,0.9284466922729862,1.0,0.9838236006644989,0.935012360891346,0.848385973764616,0.9422839847675344,0.93942544275767,0.9294916605344479,0.9111465047492989,0.9197509814283829,0.9005553279608299,0.8960327761878787,0.8404013172068386,0.8929217402806615,0.9315588957171127,0.9053023801623079,0.9294994117969654,0.9278280611312842,0.933349006626785,0.9127294157680303,0.9211761015503319,0.9171605958072564,0.9071240901149089,0.9268330919307126,0.9459177335614266,0.9236660426792056,0.9042284607534788,0.9390174555881393,0.924095870664258,0.9178258624279555,0.92219317833442,0.9200867207337283,0.937734936769502,0.9379327935482406,0.943693573020079,0.9251676777562,0.9288379452117286,0.9164385115462628,0.9373511270982001,0.9161275831470285,0.8838589746804699,0.9162651609018265,0.9341600880338222,0.9331617217063064,0.9128245614710272,0.8724039257663602,0.9043685599990123,0.9353728916918096,0.9305657262642757,0.8810476899383446,0.9102088280527457,0.9313439072791727,0.9301776121297749,0.9220451287085676,0.9287140138352749,0.9223960048709828,0.9294707000664877,0.9303535162944578,0.9175938275085577,0.9188132951389004,0.9314864492293238,0.9308669346101407,0.9304248192523703,0.9127079450792365,0.9238115481526059,0.907614712100017,0.9130965704888598,0.8360168533326439,0.870454066403818,0.9323583447502688,0.9123920809120073,0.9282070588421326,0.9094735561498084,0.9096301648649521,0.9327562594319851,0.9427749741228445,0.9240222133862664,0.9005887257356421,0.9353186848108539,0.9388985365693637,0.9086062693806556,0.9132326588796231,0.9147161998471198,0.9223754036299425,0.9430344684040055,0.9421346290701355,0.9110459893616203,0.8959962965404163,0.9240277514606262,0.9353472090426704,0.9145298717925018,0.9175361237495689,0.9335108978006915,0.933419769624136,0.8877280589819014,0.9219591745253308,0.877545327418469,0.9163998860698085
AD19,0.9318392227435474,0.9432394198210629,0.9371482204851138,0.9385721263959129,0.9431043813316494,0.9118323778989552,0.9838236006644989,1.0,0.9353700846700346,0.8325219455840364,0.9414781994042095,0.9348180607281774,0.9284765502459372,0.9152263748961198,0.9041152875039425,0.8833271707115095,0.8858702696930719,0.859422338860489,0.8749703776990173,0.9256609800672299,0.8923950396841484,0.9351690832170824,0.9191010740153447,0.9301934401719457,0.9078710497583589,0.9014982867921719,0.9223184040809135,0.9201146742384221,0.9183284551092957,0.9468312336053784,0.9287016763893333,0.913402030188129,0.9313313530615848,0.9160964287174245,0.9231476631882677,0.9236071600551948,0.907819805494623,0.9335298266597631,0.9338495377837941,0.9406800692148686,0.9137926559568641,0.9214388443860928,0.9029457906389179,0.9273913499751694,0.9175920002285122,0.874309368060087,0.9225380983256105,0.9355448347619538,0.931684116219618,0.9018410796570132,0.8438356451022974,0.8962096195316306,0.929601420914093,0.9331765690567896,0.8597077976482914,0.9165023859583393,0.9211797899300285,0.9256780919036066,0.9154501647230615,0.920883996048661,0.9219585699072183,0.933191551229935,0.9201310934784885,0.9266009510058778,0.9113503105553579,0.9345811734668714,0.9221466333540298,0.9215381556552398,0.9114794976819266,0.9252972290022472,0.8979933588913014,0.901502075790549,0.8157565673946428,0.8714202350720509,0.9296144812341994,0.8927724371768951,0.9305432304883547,0.9181677414935325,0.8986521059552365,0.928977339659756,0.945384639417617,0.920181939286978,0.8800097118362868,0.9306740819414675,0.9359896567095157,0.9080191482219402,0.9120413402311848,0.8971339182267228,0.9169145958123085,0.9436124911553253,0.9412775724598728,0.8977515125688089,0.8797250707427419,0.9190328494652064,0.9327474342720672,0.9157523618050568,0.9053416948910006,0.9287488316326735,0.9303187058441337,0.8645953389789625,0.9162205438146713,0.8976822353717772,0.9001192148390141
AD20,0.9443632504498614,0.9618722897701942,0.9496150042450929,0.9351955887660295,0.9409221938640944,0.9215933903139553,0.935012360891346,0.9353700846700346,1.0,0.8511722668230598,0.9440997460332624,0.9443545832904844,0.9297329291671192,0.9403220591583528,0.9119505047185908,0.8995561814102352,0.8830883357725816,0.8700697280451564,0.8793291586824651,0.9431695205552437,0.9025828521285352,0.9314108710427602,0.9184501841699443,0.9141675201750024,0.928531635052885,0.9095529712060467,0.933494937994394,0.9382746353348271,0.91560307354919,0.9485019964282182,0.9321307771981518,0.907673713095393,0.9353718009916825,0.9166791461505589,0.9328484068531512,0.9108271675792836,0.9217843694566472,0.9403671743530034,0.9350745789664106,0.9287499317609973,0.9205415896300584,0.9225015419182413,0.9166403515266568,0.9334356334297572,0.9213748119899485,0.8886704604020069,0.9387443064449043,0.9382352125195755,0.9284003231830988,0.9006858419372188,0.8493626440765778,0.8909353482377375,0.9288020975444659,0.9144787719718129,0.8617356851996696,0.9247378199325801,0.9259747592576946,0.9431724592917258,0.9313564534687914,0.9239191189228215,0.9427816840006883,0.9462814158450518,0.9222425536297768,0.9384729054222026,0.9312704747074486,0.9378633368860083,0.9376313646034413,0.9135707414130515,0.9065915283649428,0.9381142465003942,0.905429191432754,0.9209800402472622,0.8155639520452641,0.8495948782235987,0.9246361892062663,0.9118614396258352,0.9401591884184314,0.9151265824759544,0.9009462958133108,0.9443704538885804,0.9303156901171191,0.9111742303903503,0.8990365497757175,0.9403081533645792,0.950361441812452,0.936173667080588,0.9313512174371702,0.9016017350573426,0.9062460745192795,0.9455615305228448,0.9258581940977468,0.9254521410044151,0.8876812691209898,0.9231522211145573,0.9413499034975548,0.9226092609752647,0.9189071730157726,0.9267504827090924,0.9216431310850891,0.8677468355827913,0.929473778924531,0.877903038496273,0.9197044147197609
GSM3304958,0.8551212514665366,0.8598054118475419,0.8832516887342834,0.8567683347833303,0.8896308208453757,0.8771512676666129,0.848385973764616,0.8325219455840364,0.8511722668230598,1.0,0.849439852413159,0.8656870276885035,0.835795202273156,0.8469293642183107,0.8941305477505722,0.9142150817862453,0.8508032562685318,0.724808210736358,0.8947870405475269,0.8808654635281314,0.8850126128246198,0.8233446455871581,0.872344668062661,0.8506949241920325,0.8953684922246765,0.8916952935884018,0.8253266759168089,0.8142348115522228,0.8840129185435753,0.8567168436677727,0.8215514660932666,0.7888295499068502,0.8753030055841727,0.8740758366711876,0.834129919983574,0.7998924183771998,0.8962680543080664,0.8713468997859174,0.8620683773360355,0.8353123940336459,0.8612315737605051,0.8421008465941521,0.8959503313254784,0.884788604611652,0.8607672187475907,0.8601005049069506,0.846685350497836,0.8527616003545724,0.8437400902968363,0.8880592289285137,0.8999892985400035,0.8666368303692329,0.8851065641173269,0.825943553122916,0.8803981781855893,0.8170005981238257,0.897129690979191,0.8921308532745282,0.8437368010148432,0.8655890272516755,0.8590787672112337,0.8455615681521665,0.8750141750711952,0.8259600530215613,0.8908249718404829,0.8352496196565445,0.8898703869774655,0.8649333032398653,0.8432434817802829,0.8553826918658508,0.8789011926811289,0.8826042058283999,0.8528724509072003,0.7803907649093685,0.8455720704328614,0.904996635678787,0.8493483222011683,0.8056359638249906,0.8899892695793511,0.8687870370754466,0.8395329103163137,0.854817662542214,0.9080230488980473,0.861113817808894,0.8694123970666983,0.8276731816736915,0.8631408031746571,0.8842490111292612,0.8642255099998625,0.8728611097434607,0.8671555236593269,0.910252681357137,0.9114253890365196,0.8825209509482821,0.8632850967816017,0.8522009598152684,0.9045401882047296,0.8805313845463274,0.8655566523236269,0.8936387726316765,0.8909931713015762,0.7436711152897042,0.9114076535389402
