,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,SSP_4,SSP_3,SSP_7,SSP_8,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6
N1,1.0,0.9778739713617705,0.9795126137739409,0.9251880836243603,0.9327771726326674,0.9342399560114001,0.9157864525221179,0.9623650303539931,0.9657599421443088,0.9688238998206827,0.9702339569242105,0.9752388192794456,0.9721591122042507,0.9646783691978398,0.972432236412459,0.926231246570125,0.9660568681176183,0.9343755700436197,0.9691179818281829,0.9432704441723039,0.9136411367711371,0.9490766150569486,0.9442511194306262,0.9350702533515439,0.7159561548256684,0.7627963864185392,0.6785594238634026,0.795475842164234,0.9549028150278285,0.9494185480889301,0.933326063184495,0.955901461669851,0.9534473347126086,0.9510143901456125,0.9521747666169287,0.9513139592372374,0.9580365109109449,0.9550898742152064,0.9445252277130319,0.9330048545860935,0.9202107184919343,0.9325509291518804,0.9294496758140595,0.9034968575446908
N2,0.9778739713617705,1.0,0.97788894749472,0.9284353684927106,0.9449001730070715,0.9404189127761431,0.9265156676577733,0.9695988252084596,0.9598041661515967,0.975764764928354,0.9679888595924704,0.9730347879103779,0.9713105824286333,0.9710226669229591,0.9716620079523514,0.9371812464254701,0.9721700138572034,0.9366362816110713,0.9678556086660692,0.9504080115576451,0.9090024810895568,0.9469574219119898,0.9416986712252815,0.9319129016728954,0.7251682211025658,0.7679799065154813,0.6852492274622357,0.8034837895030177,0.953783109309171,0.9434916740050071,0.9269548465908093,0.9535359709844061,0.9456619931247029,0.9504551508493773,0.9584522344731291,0.9502550317097957,0.9557184618015784,0.9592031013160977,0.9473807551929386,0.9227318712291022,0.9135332724309304,0.926674755615228,0.9195804248083185,0.8984234244592205
N3,0.9795126137739409,0.97788894749472,1.0,0.9328990294654222,0.9399962290194173,0.9368439025091533,0.9153476818239543,0.9647636957113803,0.9570995552490423,0.9685846161775703,0.9736537474300723,0.979721505293111,0.9778719670161294,0.9694956788707146,0.9748129769505647,0.9175810251652156,0.9673995932252559,0.919704866603285,0.975694778634295,0.9428416601142985,0.9257348657909191,0.9453486824887026,0.942126691127129,0.929607226536182,0.7166199395007914,0.7410525017468047,0.668546932693818,0.7912290710776215,0.9587332257948111,0.9574048492931951,0.9426441492465935,0.9621235963462509,0.9554672873081316,0.9640051708555359,0.9572251168798442,0.9578826384429543,0.9616098114126448,0.9592481025981459,0.9500573866948323,0.9327617802204027,0.9258824755147996,0.9354377985216146,0.939113757648192,0.9037139019939104
N4,0.9251880836243603,0.9284353684927106,0.9328990294654222,1.0,0.9813284568788315,0.9846732798289825,0.9791196803264209,0.961855624057191,0.9537816175016024,0.9551067931936211,0.9583812185398319,0.9554693568055214,0.958909019094445,0.9575457520714724,0.9145251313644404,0.9575387676996743,0.955836136358805,0.9326269056344488,0.965314350626377,0.9582782413440436,0.9003617483875338,0.9110064944429036,0.9083837223459722,0.9014092925564046,0.7288734115482493,0.7755928469338081,0.6169992035172851,0.8094929220708617,0.9128173398128809,0.907521542875394,0.8902361365400812,0.9200296504045862,0.9193968395077918,0.9253316584040713,0.9169940328054399,0.9383434584683732,0.9038542303770188,0.9170145342130251,0.9401376644496191,0.8970976077541638,0.9191343076780359,0.9023730998924402,0.9049800030495837,0.9195550824693041
N5,0.9327771726326674,0.9449001730070715,0.9399962290194173,0.9813284568788315,1.0,0.982973546173228,0.980146427546415,0.9702727244660709,0.9552721912667947,0.9632819517186192,0.9597576963991001,0.9591240320171425,0.9630462840277642,0.9685521984849351,0.9268276716895916,0.9613307966956316,0.9650349140016845,0.9321534343022125,0.9662836700090195,0.9607269718475544,0.9021483840979851,0.9172183098400691,0.9139086423177911,0.9049823189814726,0.7297988752653329,0.7755874932117166,0.6246679569815167,0.8128761934812911,0.9197966743512924,0.9080259680423304,0.8955696413384526,0.9292202744145568,0.9214802976406314,0.9324716978933104,0.9306016228790891,0.9424968483798907,0.9146235597381613,0.9270752988803522,0.9476140618206597,0.8938524954344355,0.912678370874686,0.901489322422213,0.904119759577085,0.9099509627520007
N6,0.9342399560114001,0.9404189127761431,0.9368439025091533,0.9846732798289825,0.982973546173228,1.0,0.9804304088034754,0.9707126764672993,0.9629589221933601,0.9669342289779829,0.9634746317310399,0.9608306617205588,0.9613364283161516,0.9669965765713194,0.920961650706295,0.9648766092599509,0.9615112264660655,0.9406310575667568,0.9659340391482895,0.9611764400620157,0.8993032028091306,0.9173204820479757,0.9138878668116097,0.9093689510663304,0.733622424902477,0.7938092339912631,0.630395853215371,0.8199026208623287,0.9180028647276975,0.9089310523473115,0.8887707584579483,0.9234195018670865,0.921156459805383,0.9250645410992415,0.9241179187134079,0.9404008429097951,0.9105679651878409,0.9221676862534596,0.9429740461505484,0.8984311011472838,0.9155128695720176,0.9038249308366464,0.9030057532169984,0.9219727584041215
N7,0.9157864525221179,0.9265156676577733,0.9153476818239543,0.9791196803264209,0.980146427546415,0.9804304088034754,1.0,0.9558923564535075,0.9457171001266248,0.9513701578617891,0.9484633318058038,0.9424619767259094,0.9450195806117974,0.9491445220575184,0.9080481338917724,0.9662993189044728,0.954692949005426,0.9382191988127667,0.9520658521502376,0.9606540304755382,0.8856276209031065,0.9047997189192538,0.8953414011226715,0.8944654528719257,0.7349712996982318,0.7897297235381046,0.6265238206668946,0.816658497866277,0.9036204188603096,0.8905066185250213,0.8755638228274643,0.9082211402230813,0.9089016304874823,0.9143827725475361,0.9118088384760327,0.9285447545174909,0.8926384711681817,0.9141806515607583,0.9379995254012542,0.8854551466636313,0.9087624591862534,0.8880435587166602,0.882741129770436,0.9095104694394033
N8,0.9623650303539931,0.9695988252084596,0.9647636957113803,0.961855624057191,0.9702727244660709,0.9707126764672993,0.9558923564535075,1.0,0.9754391082308964,0.9843596258737418,0.9801291352344775,0.9792399891118929,0.9820307849606206,0.9838482274599497,0.9604557194575992,0.9533603194975884,0.9745744355267171,0.9359490259154981,0.9771878800072938,0.9580794413173406,0.9161556710131332,0.9402699476487894,0.9391428584276836,0.9295133842525366,0.7426543698597777,0.7870624380861448,0.6602667010195843,0.8252794556260505,0.9474460248847631,0.9348375397008306,0.9161770383706495,0.9505024192859874,0.9467032350740381,0.9477190732555673,0.9555271218999533,0.9545884354858258,0.9451359077770469,0.9537643488452683,0.9574914486517139,0.9237700815382522,0.918986865888073,0.9253789603692595,0.9267124792629879,0.9219858206515994
N9,0.9657599421443088,0.9598041661515967,0.9570995552490423,0.9537816175016024,0.9552721912667947,0.9629589221933601,0.9457171001266248,0.9754391082308964,1.0,0.9753492508621258,0.9718707600583102,0.9729902924947312,0.9740216541607748,0.9715145374385117,0.9509726776623417,0.9467362144225201,0.9647945647746774,0.9444368459586138,0.972917452652916,0.9486797848484667,0.909414580968033,0.9423540435713988,0.9413612857963459,0.9383513127711406,0.7443575089724558,0.8115209153970512,0.6818581519430663,0.8337303805880162,0.9405036517049233,0.9317435381232955,0.9017036366480022,0.9456028714956337,0.948672224977791,0.9355921562040281,0.9437591981774286,0.9506643356200553,0.9402305238012133,0.9447620323774053,0.9474513577571969,0.9300961553885031,0.9241150365845431,0.9246040681311756,0.9242461713997159,0.9340353198321636
N10,0.9688238998206827,0.975764764928354,0.9685846161775703,0.9551067931936211,0.9632819517186192,0.9669342289779829,0.9513701578617891,0.9843596258737418,0.9753492508621258,1.0,0.9810522873082114,0.9814349850288788,0.9756036316672392,0.9801313305491467,0.9576557633553616,0.960258655031751,0.9776091999262366,0.9472178628016608,0.9742731972324629,0.9665263090632873,0.9134529626020448,0.9425164339620005,0.9385670394308339,0.933200283870526,0.7470998583212498,0.8008668296119887,0.6769067624257509,0.8315463056306454,0.9532442724930952,0.9409800697686644,0.9156416964228689,0.9512802166386269,0.9444335739351075,0.9445703240512894,0.9534396718785583,0.9554673811453195,0.945137911441793,0.9523746275875578,0.9587925743760023,0.925322656766104,0.9225520183138443,0.9256753875981074,0.9195033442767901,0.9251467704858919
