,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,AD11,AD12,AD13,AD14,AD15,AD16,AD17,AD18,AD19,AD20
AD1,1.0,0.9406007809258676,0.9626132170371123,0.9566996349477528,0.9402390712988197,0.9677155327576559,0.9705724637100126,0.9450675327656302,0.9423108394617653,0.9623384449920946,0.9390409331320009,0.9395082935816327,0.904587733007755,0.9731267257751859,0.9721121300015391,0.9400343442366002,0.9532827841502954,0.9131912094249167,0.9410815561452799,0.9579319381315324
AD2,0.9406007809258676,1.0,0.9533140181018231,0.9400441388369684,0.9519244802189673,0.9391743503999045,0.9238593217033388,0.8956451118008689,0.9263356963876235,0.9192803822751615,0.9389325985625481,0.9563114109420895,0.8962116955304675,0.9506509347372342,0.9527833358960698,0.9319656432297958,0.9273916331834791,0.8543058200532238,0.9318392227435474,0.9443632504498614
AD3,0.9626132170371123,0.9533140181018231,1.0,0.9523993199081513,0.9475811546580091,0.9519203044009575,0.9500392555040232,0.92657421159153,0.9396788135651638,0.9565078436403281,0.9444538798270445,0.9567388079844331,0.9076189139183243,0.9599610157113129,0.9603000226088572,0.9463806172485275,0.948222204694921,0.8811182473329202,0.9432394198210629,0.9618722897701942
AD4,0.9566996349477528,0.9400441388369684,0.9523993199081513,1.0,0.9549346949288815,0.962315162887006,0.9621825392733805,0.9419104412217433,0.9422564519899362,0.949237578259095,0.9428949730243055,0.9284471987928271,0.9496495021921575,0.9595412980037364,0.9517638919757053,0.9399512478512212,0.9557665492557981,0.9109385617495371,0.9371482204851138,0.9496150042450929
AD5,0.9402390712988197,0.9519244802189673,0.9475811546580091,0.9549346949288815,1.0,0.9485411475444787,0.9446439848216124,0.9237020962073247,0.941162845013036,0.9406173166868029,0.9500498403322309,0.9384862785420872,0.9258626553534477,0.9461910819762135,0.944789422502051,0.9427322702018285,0.9363796581965552,0.8883844990534374,0.9385721263959129,0.9351955887660295
AD6,0.9677155327576559,0.9391743503999045,0.9519203044009575,0.962315162887006,0.9485411475444787,1.0,0.9616867977939934,0.9509504914848952,0.9468913102498118,0.9570103568711288,0.9324542965887845,0.9290811659039092,0.9194595385416866,0.9621910966110149,0.9522970559386879,0.936579131803934,0.9456623212006854,0.9079856779208492,0.938282892513166,0.9511425631672284
AD7,0.9705724637100126,0.9238593217033388,0.9500392555040232,0.9621825392733805,0.9446439848216124,0.9616867977939934,1.0,0.9589121444455231,0.9529020495536779,0.9587962355803087,0.940956118354966,0.9144917321235079,0.9134060271010291,0.9669521874246819,0.9594256310703299,0.9436383833553313,0.9606511001953304,0.9440025404587515,0.9431043813316494,0.9409221938640944
AD8,0.9450675327656302,0.8956451118008689,0.92657421159153,0.9419104412217433,0.9237020962073247,0.9509504914848952,0.9589121444455231,1.0,0.9284466922729862,0.9478111156596919,0.9121179495725268,0.8957710932692104,0.9066803214951352,0.9495484481727603,0.9358603950579124,0.9255533254426227,0.9367482336593036,0.9216453088172972,0.9118323778989552,0.9215933903139553
AD9,0.9423108394617653,0.9263356963876235,0.9396788135651638,0.9422564519899362,0.941162845013036,0.9468913102498118,0.9529020495536779,0.9284466922729862,1.0,0.9553587224260114,0.9442365850611271,0.9164890806588719,0.9153141928861136,0.9552012277514152,0.9354388591360754,0.9505294200815736,0.9466361000763898,0.9148884787192062,0.9838236006644989,0.935012360891346
AD10,0.9623384449920946,0.9192803822751615,0.9565078436403281,0.949237578259095,0.9406173166868029,0.9570103568711288,0.9587962355803087,0.9478111156596919,0.9553587224260114,1.0,0.9364611819949831,0.9351347721811325,0.9124422755928764,0.9657716196000152,0.948467093453076,0.9569258742882599,0.9560897949706484,0.897828411510086,0.9538465088739971,0.9460311965811217
AD11,0.9390409331320009,0.9389325985625481,0.9444538798270445,0.9428949730243055,0.9500498403322309,0.9324542965887845,0.940956118354966,0.9121179495725268,0.9442365850611271,0.9364611819949831,1.0,0.9296694387138189,0.914158413465083,0.9445195472383097,0.941776346271322,0.9452897222536664,0.9335530793216427,0.891278198901762,0.9479343600462351,0.9320069922909562
AD12,0.9395082935816327,0.9563114109420895,0.9567388079844331,0.9284471987928271,0.9384862785420872,0.9290811659039092,0.9144917321235079,0.8957710932692104,0.9164890806588719,0.9351347721811325,0.9296694387138189,1.0,0.8952875721383319,0.9501186030418542,0.9543957280014962,0.9337059655629297,0.9285374738466312,0.8157287347268123,0.9342519643984544,0.956202967676567
AD13,0.904587733007755,0.8962116955304675,0.9076189139183243,0.9496495021921575,0.9258626553534477,0.9194595385416866,0.9134060271010291,0.9066803214951352,0.9153141928861136,0.9124422755928764,0.914158413465083,0.8952875721383319,1.0,0.9234270770029843,0.9067182859490299,0.9221213447453029,0.9242563123613867,0.8736096832174173,0.9129228996646243,0.915418051857146
AD14,0.9731267257751859,0.9506509347372342,0.9599610157113129,0.9595412980037364,0.9461910819762135,0.9621910966110149,0.9669521874246819,0.9495484481727603,0.9552012277514152,0.9657716196000152,0.9445195472383097,0.9501186030418542,0.9234270770029843,1.0,0.9754463004019048,0.9611820493283201,0.9652277063507656,0.906444559324635,0.9556439035130645,0.95867002960887
AD15,0.9721121300015391,0.9527833358960698,0.9603000226088572,0.9517638919757053,0.944789422502051,0.9522970559386879,0.9594256310703299,0.9358603950579124,0.9354388591360754,0.948467093453076,0.941776346271322,0.9543957280014962,0.9067182859490299,0.9754463004019048,1.0,0.942194675222562,0.9524246390857602,0.8981680951017524,0.9342903879566528,0.9580319490420547
AD16,0.9400343442366002,0.9319656432297958,0.9463806172485275,0.9399512478512212,0.9427322702018285,0.936579131803934,0.9436383833553313,0.9255533254426227,0.9505294200815736,0.9569258742882599,0.9452897222536664,0.9337059655629297,0.9221213447453029,0.9611820493283201,0.942194675222562,1.0,0.9527981843447705,0.9010592104875542,0.9522995468550502,0.9362001812066132
AD17,0.9532827841502954,0.9273916331834791,0.948222204694921,0.9557665492557981,0.9363796581965552,0.9456623212006854,0.9606511001953304,0.9367482336593036,0.9466361000763898,0.9560897949706484,0.9335530793216427,0.9285374738466312,0.9242563123613867,0.9652277063507656,0.9524246390857602,0.9527981843447705,1.0,0.9132241877300922,0.9440481961850369,0.9452331514487202
AD18,0.9131912094249167,0.8543058200532238,0.8811182473329202,0.9109385617495371,0.8883844990534374,0.9079856779208492,0.9440025404587515,0.9216453088172972,0.9148884787192062,0.897828411510086,0.891278198901762,0.8157287347268123,0.8736096832174173,0.906444559324635,0.8981680951017524,0.9010592104875542,0.9132241877300922,1.0,0.8818811259619259,0.8828271118703597
AD19,0.9410815561452799,0.9318392227435474,0.9432394198210629,0.9371482204851138,0.9385721263959129,0.938282892513166,0.9431043813316494,0.9118323778989552,0.9838236006644989,0.9538465088739971,0.9479343600462351,0.9342519643984544,0.9129228996646243,0.9556439035130645,0.9342903879566528,0.9522995468550502,0.9440481961850369,0.8818811259619259,1.0,0.9353700846700346
AD20,0.9579319381315324,0.9443632504498614,0.9618722897701942,0.9496150042450929,0.9351955887660295,0.9511425631672284,0.9409221938640944,0.9215933903139553,0.935012360891346,0.9460311965811217,0.9320069922909562,0.956202967676567,0.915418051857146,0.95867002960887,0.9580319490420547,0.9362001812066132,0.9452331514487202,0.8828271118703597,0.9353700846700346,1.0
