,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6,AP.7,AP.8,AP.9,AP.10
AP.1,1.0,0.9478142860816131,0.9678776948288548,0.955496090223602,0.8734840184914545,0.9121475060134104,0.9357892529174686,0.9697448717351479,0.9510402517987009,0.9670637611040648
AP.2,0.9478142860816131,1.0,0.9544568285469819,0.9324428450583669,0.8556147997727787,0.9322489695044925,0.9723872095748912,0.9401690794697449,0.9643914812612641,0.942814425607062
AP.3,0.9678776948288548,0.9544568285469819,1.0,0.9536958680974779,0.8744412674926689,0.8906257453979178,0.9395966610866797,0.9699318395453449,0.955398618803599,0.9589692367390137
AP.4,0.955496090223602,0.9324428450583669,0.9536958680974779,1.0,0.8990218997199947,0.91558001282277,0.9235908237909459,0.9576081169452602,0.9370863890045474,0.9604043361869928
AP.5,0.8734840184914545,0.8556147997727787,0.8744412674926689,0.8990218997199947,1.0,0.8218401108043291,0.82451682457369,0.8716088657866002,0.8708337491113122,0.8760075222924868
AP.6,0.9121475060134104,0.9322489695044925,0.8906257453979178,0.91558001282277,0.8218401108043291,1.0,0.9494265544399,0.8898625727211964,0.930068320546202,0.9053271079882709
AP.7,0.9357892529174686,0.9723872095748912,0.9395966610866797,0.9235908237909459,0.82451682457369,0.9494265544399,1.0,0.9300893943007807,0.9629355343793532,0.9240582209265308
AP.8,0.9697448717351479,0.9401690794697449,0.9699318395453449,0.9576081169452602,0.8716088657866002,0.8898625727211964,0.9300893943007807,1.0,0.9455776865751051,0.9670395185199803
AP.9,0.9510402517987009,0.9643914812612641,0.955398618803599,0.9370863890045474,0.8708337491113122,0.930068320546202,0.9629355343793532,0.9455776865751051,1.0,0.9438678189203782
AP.10,0.9670637611040648,0.942814425607062,0.9589692367390137,0.9604043361869928,0.8760075222924868,0.9053271079882709,0.9240582209265308,0.9670395185199803,0.9438678189203782,1.0
