,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10
CL.1,1.0,0.9723088447769234,0.9421272187821643,0.9668623029189587,0.9525516590394814,0.9535943018475092,0.9636890101531287,0.9596130113270631,0.961364029106355,0.9631593812367258
CL.2,0.9723088447769234,1.0,0.9508189978436519,0.9635558001682731,0.9571183108313686,0.9612581657292796,0.9532726365224449,0.9578201921967464,0.9622399370195747,0.9578873352772751
CL.3,0.9421272187821643,0.9508189978436519,1.0,0.9439353283168201,0.9390135172871031,0.9625450057424584,0.9368542189714597,0.9410903275364727,0.946069739823055,0.9464309438417826
CL.4,0.9668623029189587,0.9635558001682731,0.9439353283168201,1.0,0.9594719695528975,0.9691679270764192,0.9679836627232825,0.973141150042897,0.9654760767876244,0.9644433488073174
CL.5,0.9525516590394814,0.9571183108313686,0.9390135172871031,0.9594719695528975,1.0,0.964253057472708,0.9624537868860898,0.965007233475405,0.9572138539517961,0.9651839897360062
CL.6,0.9535943018475092,0.9612581657292796,0.9625450057424584,0.9691679270764192,0.964253057472708,1.0,0.9603580971260487,0.9707180768142117,0.9590462577361754,0.9707136059106708
CL.7,0.9636890101531287,0.9532726365224449,0.9368542189714597,0.9679836627232825,0.9624537868860898,0.9603580971260487,1.0,0.9681459726035647,0.9621550886699012,0.9680309109087635
CL.8,0.9596130113270631,0.9578201921967464,0.9410903275364727,0.973141150042897,0.965007233475405,0.9707180768142117,0.9681459726035647,1.0,0.9528191710656182,0.965248061744853
CL.9,0.961364029106355,0.9622399370195747,0.946069739823055,0.9654760767876244,0.9572138539517961,0.9590462577361754,0.9621550886699012,0.9528191710656182,1.0,0.960769734034496
CL.10,0.9631593812367258,0.9578873352772751,0.9464309438417826,0.9644433488073174,0.9651839897360062,0.9707136059106708,0.9680309109087635,0.965248061744853,0.960769734034496,1.0
