,CR.1,CR.2,CR.3,CR.4,CR.5,CR.6,CR.7,CR.8,CR.9,CR.10
CR.1,1.0,0.9762207919883076,0.9730802395823746,0.9597229611931429,0.9438033840165653,0.9644670145801547,0.9340141030951672,0.9620477902081873,0.9598732341107533,0.9448857800660124
CR.2,0.9762207919883076,1.0,0.9795222383263229,0.9671418472073966,0.9517929470309145,0.9751035839894695,0.9326950790735482,0.9671176180160735,0.9630346467668155,0.9489928280575417
CR.3,0.9730802395823746,0.9795222383263229,1.0,0.962593289272417,0.9549479554485334,0.9743412334383127,0.9352400241036919,0.9620763955543429,0.9596786338816375,0.9513071329428554
CR.4,0.9597229611931429,0.9671418472073966,0.962593289272417,1.0,0.9705824323723515,0.9682134168592401,0.9600287652549592,0.9775938321140423,0.9562583784454288,0.9667858809444917
CR.5,0.9438033840165653,0.9517929470309145,0.9549479554485334,0.9705824323723515,1.0,0.9687526017223823,0.9726092508639769,0.962239650340898,0.9327062220707624,0.976909092072179
CR.6,0.9644670145801547,0.9751035839894695,0.9743412334383127,0.9682134168592401,0.9687526017223823,1.0,0.9569688655908118,0.9652861533393792,0.9562305508239074,0.9674369309099927
CR.7,0.9340141030951672,0.9326950790735482,0.9352400241036919,0.9600287652549592,0.9726092508639769,0.9569688655908118,1.0,0.9585925540430427,0.9229725975016068,0.9739404024512053
CR.8,0.9620477902081873,0.9671176180160735,0.9620763955543429,0.9775938321140423,0.962239650340898,0.9652861533393792,0.9585925540430427,1.0,0.9584454591580001,0.9666136372043808
CR.9,0.9598732341107533,0.9630346467668155,0.9596786338816375,0.9562583784454288,0.9327062220707624,0.9562305508239074,0.9229725975016068,0.9584454591580001,1.0,0.9320411118856444
CR.10,0.9448857800660124,0.9489928280575417,0.9513071329428554,0.9667858809444917,0.976909092072179,0.9674369309099927,0.9739404024512053,0.9666136372043808,0.9320411118856444,1.0
