,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6,HP.7,HP.8,HP.9,HP.10
HP.1,1.0,0.9373844088792879,0.9477804423975796,0.9264740555955038,0.9150496788672533,0.9188749070254014,0.9418523403034048,0.9381705430914314,0.9018578583985539,0.9609168651991511
HP.2,0.9373844088792879,1.0,0.9451140277057434,0.9328030532794261,0.9419971827939276,0.9315214580726259,0.9325482203931095,0.9298675005791706,0.9161681384221249,0.9340632374910407
HP.3,0.9477804423975796,0.9451140277057434,1.0,0.9241070156602279,0.9175025169510341,0.9342657887758791,0.9628645616554206,0.9684547994649159,0.9321014988369024,0.9419456252801445
HP.4,0.9264740555955038,0.9328030532794261,0.9241070156602279,1.0,0.9458273656203926,0.8841907865681139,0.9110809330257181,0.9036347710410291,0.8713737073062189,0.9057134083617828
HP.5,0.9150496788672533,0.9419971827939276,0.9175025169510341,0.9458273656203926,1.0,0.9186625918463542,0.9264824607696228,0.8930975907974232,0.9037195972671125,0.9170217543062115
HP.6,0.9188749070254014,0.9315214580726259,0.9342657887758791,0.8841907865681139,0.9186625918463542,1.0,0.9534083503441908,0.9397459543668912,0.9602766866746414,0.952531077835418
HP.7,0.9418523403034048,0.9325482203931095,0.9628645616554206,0.9110809330257181,0.9264824607696228,0.9534083503441908,1.0,0.9777676590883224,0.9511064475733516,0.9486971028477097
HP.8,0.9381705430914314,0.9298675005791706,0.9684547994649159,0.9036347710410291,0.8930975907974232,0.9397459543668912,0.9777676590883224,1.0,0.9356993591263171,0.9433134123903254
HP.9,0.9018578583985539,0.9161681384221249,0.9321014988369024,0.8713737073062189,0.9037195972671125,0.9602766866746414,0.9511064475733516,0.9356993591263171,1.0,0.9348005871884004
HP.10,0.9609168651991511,0.9340632374910407,0.9419456252801445,0.9057134083617828,0.9170217543062115,0.952531077835418,0.9486971028477097,0.9433134123903254,0.9348005871884004,1.0
