,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
N1,1.0,0.9778739713617705,0.9795126137739409,0.9251880836243603,0.9327771726326674,0.9342399560114001,0.9157864525221179,0.9623650303539931,0.9657599421443088,0.9688238998206827,0.9702339569242105,0.9752388192794456,0.9721591122042507,0.9646783691978398,0.972432236412459,0.926231246570125,0.9660568681176183,0.9343755700436197,0.9691179818281829,0.9432704441723039
N2,0.9778739713617705,1.0,0.97788894749472,0.9284353684927106,0.9449001730070715,0.9404189127761431,0.9265156676577733,0.9695988252084596,0.9598041661515967,0.975764764928354,0.9679888595924704,0.9730347879103779,0.9713105824286333,0.9710226669229591,0.9716620079523514,0.9371812464254701,0.9721700138572034,0.9366362816110713,0.9678556086660692,0.9504080115576451
N3,0.9795126137739409,0.97788894749472,1.0,0.9328990294654222,0.9399962290194173,0.9368439025091533,0.9153476818239543,0.9647636957113803,0.9570995552490423,0.9685846161775703,0.9736537474300723,0.979721505293111,0.9778719670161294,0.9694956788707146,0.9748129769505647,0.9175810251652156,0.9673995932252559,0.919704866603285,0.975694778634295,0.9428416601142985
N4,0.9251880836243603,0.9284353684927106,0.9328990294654222,1.0,0.9813284568788315,0.9846732798289825,0.9791196803264209,0.961855624057191,0.9537816175016024,0.9551067931936211,0.9583812185398319,0.9554693568055214,0.958909019094445,0.9575457520714724,0.9145251313644404,0.9575387676996743,0.955836136358805,0.9326269056344488,0.965314350626377,0.9582782413440436
N5,0.9327771726326674,0.9449001730070715,0.9399962290194173,0.9813284568788315,1.0,0.982973546173228,0.980146427546415,0.9702727244660709,0.9552721912667947,0.9632819517186192,0.9597576963991001,0.9591240320171425,0.9630462840277642,0.9685521984849351,0.9268276716895916,0.9613307966956316,0.9650349140016845,0.9321534343022125,0.9662836700090195,0.9607269718475544
N6,0.9342399560114001,0.9404189127761431,0.9368439025091533,0.9846732798289825,0.982973546173228,1.0,0.9804304088034754,0.9707126764672993,0.9629589221933601,0.9669342289779829,0.9634746317310399,0.9608306617205588,0.9613364283161516,0.9669965765713194,0.920961650706295,0.9648766092599509,0.9615112264660655,0.9406310575667568,0.9659340391482895,0.9611764400620157
N7,0.9157864525221179,0.9265156676577733,0.9153476818239543,0.9791196803264209,0.980146427546415,0.9804304088034754,1.0,0.9558923564535075,0.9457171001266248,0.9513701578617891,0.9484633318058038,0.9424619767259094,0.9450195806117974,0.9491445220575184,0.9080481338917724,0.9662993189044728,0.954692949005426,0.9382191988127667,0.9520658521502376,0.9606540304755382
N8,0.9623650303539931,0.9695988252084596,0.9647636957113803,0.961855624057191,0.9702727244660709,0.9707126764672993,0.9558923564535075,1.0,0.9754391082308964,0.9843596258737418,0.9801291352344775,0.9792399891118929,0.9820307849606206,0.9838482274599497,0.9604557194575992,0.9533603194975884,0.9745744355267171,0.9359490259154981,0.9771878800072938,0.9580794413173406
N9,0.9657599421443088,0.9598041661515967,0.9570995552490423,0.9537816175016024,0.9552721912667947,0.9629589221933601,0.9457171001266248,0.9754391082308964,1.0,0.9753492508621258,0.9718707600583102,0.9729902924947312,0.9740216541607748,0.9715145374385117,0.9509726776623417,0.9467362144225201,0.9647945647746774,0.9444368459586138,0.972917452652916,0.9486797848484667
N10,0.9688238998206827,0.975764764928354,0.9685846161775703,0.9551067931936211,0.9632819517186192,0.9669342289779829,0.9513701578617891,0.9843596258737418,0.9753492508621258,1.0,0.9810522873082114,0.9814349850288788,0.9756036316672392,0.9801313305491467,0.9576557633553616,0.960258655031751,0.9776091999262366,0.9472178628016608,0.9742731972324629,0.9665263090632873
N11,0.9702339569242105,0.9679888595924704,0.9736537474300723,0.9583812185398319,0.9597576963991001,0.9634746317310399,0.9484633318058038,0.9801291352344775,0.9718707600583102,0.9810522873082114,1.0,0.9822567733694282,0.9825611175268922,0.9793340786591916,0.9681285327516073,0.9470910128794524,0.9795706899659141,0.9379786714054734,0.9803819497289523,0.9613705024501297
N12,0.9752388192794456,0.9730347879103779,0.979721505293111,0.9554693568055214,0.9591240320171425,0.9608306617205588,0.9424619767259094,0.9792399891118929,0.9729902924947312,0.9814349850288788,0.9822567733694282,1.0,0.9852539398506099,0.9773585105868108,0.9693289418179094,0.9433337366005291,0.9762599347526246,0.9362762192442683,0.9833392994917473,0.9595804743021226
N13,0.9721591122042507,0.9713105824286333,0.9778719670161294,0.958909019094445,0.9630462840277642,0.9613364283161516,0.9450195806117974,0.9820307849606206,0.9740216541607748,0.9756036316672392,0.9825611175268922,0.9852539398506099,1.0,0.9813989234782815,0.971794591612827,0.9406649887512636,0.9756126360836964,0.9304043983770689,0.9863567976729755,0.9557625436614892
N14,0.9646783691978398,0.9710226669229591,0.9694956788707146,0.9575457520714724,0.9685521984849351,0.9669965765713194,0.9491445220575184,0.9838482274599497,0.9715145374385117,0.9801313305491467,0.9793340786591916,0.9773585105868108,0.9813989234782815,1.0,0.9602243287580343,0.9457885526946971,0.976783501382544,0.927464095683278,0.9772969488119708,0.9525494438415858
N15,0.972432236412459,0.9716620079523514,0.9748129769505647,0.9145251313644404,0.9268276716895916,0.920961650706295,0.9080481338917724,0.9604557194575992,0.9509726776623417,0.9576557633553616,0.9681285327516073,0.9693289418179094,0.971794591612827,0.9602243287580343,1.0,0.9061317206805198,0.9620577813345638,0.9156287990123354,0.9661014075003995,0.9304533108836026
N16,0.926231246570125,0.9371812464254701,0.9175810251652156,0.9575387676996743,0.9613307966956316,0.9648766092599509,0.9662993189044728,0.9533603194975884,0.9467362144225201,0.960258655031751,0.9470910128794524,0.9433337366005291,0.9406649887512636,0.9457885526946971,0.9061317206805198,1.0,0.9600758265403075,0.9629428477221811,0.9506485227168116,0.9777862307466852
N17,0.9660568681176183,0.9721700138572034,0.9673995932252559,0.955836136358805,0.9650349140016845,0.9615112264660655,0.954692949005426,0.9745744355267171,0.9647945647746774,0.9776091999262366,0.9795706899659141,0.9762599347526246,0.9756126360836964,0.976783501382544,0.9620577813345638,0.9600758265403075,1.0,0.9423482270934307,0.976216010206869,0.9701737349746297
N18,0.9343755700436197,0.9366362816110713,0.919704866603285,0.9326269056344488,0.9321534343022125,0.9406310575667568,0.9382191988127667,0.9359490259154981,0.9444368459586138,0.9472178628016608,0.9379786714054734,0.9362762192442683,0.9304043983770689,0.927464095683278,0.9156287990123354,0.9629428477221811,0.9423482270934307,1.0,0.9435292341501567,0.9638056674425363
N19,0.9691179818281829,0.9678556086660692,0.975694778634295,0.965314350626377,0.9662836700090195,0.9659340391482895,0.9520658521502376,0.9771878800072938,0.972917452652916,0.9742731972324629,0.9803819497289523,0.9833392994917473,0.9863567976729755,0.9772969488119708,0.9661014075003995,0.9506485227168116,0.976216010206869,0.9435292341501567,1.0,0.964799583150587
N20,0.9432704441723039,0.9504080115576451,0.9428416601142985,0.9582782413440436,0.9607269718475544,0.9611764400620157,0.9606540304755382,0.9580794413173406,0.9486797848484667,0.9665263090632873,0.9613705024501297,0.9595804743021226,0.9557625436614892,0.9525494438415858,0.9304533108836026,0.9777862307466852,0.9701737349746297,0.9638056674425363,0.964799583150587,1.0
