,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
SSA.P.1,1.0,0.9523615338102576,0.951434184805284,0.9467787894732123,0.941184077602801,0.9405109512815959,0.9276288133283903,0.9461240822789518,0.9409366810376996,0.9391788511584861,0.9453708980324831,0.9486060428484918,0.9241890537978047,0.9008469231538098,0.9577692672562004,0.9662787063023732,0.9411064159385397,0.8863356709996919,0.9382890168434428,0.8082731544185005,0.9379466658299094
SSA.P.2,0.9523615338102576,1.0,0.9565988471307684,0.9640685924506037,0.9784198171002949,0.9344563324698707,0.958638899005093,0.9501353374922862,0.9536927239778641,0.9426822963010996,0.9567625418687151,0.941870062227017,0.9429903765448251,0.9322569379065594,0.9767233442662289,0.95307873641792,0.9365760742732732,0.934024743262551,0.9563630565384013,0.8646742108019513,0.9287895033462724
SSA.P.3,0.951434184805284,0.9565988471307684,1.0,0.9606234521158847,0.9209571605674759,0.9577181827721178,0.9042055265087596,0.9235206407018155,0.9198041574291146,0.9228493155120989,0.9107312028037665,0.9276216461198641,0.9480709213074574,0.9344957643124696,0.9478028285768926,0.966246699705467,0.9684263201501919,0.8579525328974829,0.9125706734635279,0.7388162462129766,0.9296384300780692
SSA.P.4,0.9467787894732123,0.9640685924506037,0.9606234521158847,1.0,0.9570472496405311,0.9359929404235464,0.931004900738549,0.9272410496076144,0.9358466875088575,0.9300064647291375,0.9343510795918621,0.9342947788550542,0.9442679653556179,0.9380800511122304,0.9633434266354429,0.9558931446441536,0.9516619928999637,0.8910532024688259,0.9465828538995645,0.7956490544881855,0.9327887061999267
SSA.P.5,0.941184077602801,0.9784198171002949,0.9209571605674759,0.9570472496405311,1.0,0.9195105058734253,0.9652539431164889,0.9478897322240045,0.9459945010460779,0.9319955414084867,0.9602888146136447,0.9287041999556999,0.9364351553841462,0.9290150231017761,0.9719653927949298,0.930722385184429,0.9040316962672826,0.9526239968861115,0.9621624720076167,0.90148983366988,0.9134127455943887
SSA.P.6,0.9405109512815959,0.9344563324698707,0.9577181827721178,0.9359929404235464,0.9195105058734253,1.0,0.920830048116392,0.9474216186058803,0.9271026086868666,0.9347672157653153,0.914682643901543,0.9290529340340445,0.9526220893428454,0.9268041399102623,0.9364157000780785,0.9406175021043419,0.9358287184478871,0.8790098391058928,0.9085334394447615,0.7698677582818197,0.9206355269204932
SSA.P.7,0.9276288133283903,0.958638899005093,0.9042055265087596,0.931004900738549,0.9652539431164889,0.920830048116392,1.0,0.9651975763438672,0.9620250985102777,0.9506148151348637,0.9672113551289272,0.9453813960246389,0.9317974971201051,0.8979977795898327,0.9655509633278356,0.9137383480344142,0.8837239468822031,0.951309283411816,0.9586763064431096,0.9174008921111658,0.9254532721518901
SSA.P.8,0.9461240822789518,0.9501353374922862,0.9235206407018155,0.9272410496076144,0.9478897322240045,0.9474216186058803,0.9651975763438672,1.0,0.9584366087720279,0.952586530841722,0.9560688434202137,0.9541510439071407,0.9331047090445613,0.8988678283758106,0.9573285008828224,0.9357688614085011,0.9100441864866456,0.9258400543133866,0.9371003395946097,0.8643059067361841,0.9326640436138379
SSA.P.9,0.9409366810376996,0.9536927239778641,0.9198041574291146,0.9358466875088575,0.9459945010460779,0.9271026086868666,0.9620250985102777,0.9584366087720279,1.0,0.9888993905904572,0.9710479888955315,0.9662886732350198,0.9205988275416884,0.8934464794443795,0.9604086772867252,0.9387342438190823,0.9103838463897622,0.9230167022264044,0.9515078154844494,0.8718385359693268,0.9525593572635883
SSA.P.10,0.9391788511584861,0.9426822963010996,0.9228493155120989,0.9300064647291375,0.9319955414084867,0.9347672157653153,0.9506148151348637,0.952586530841722,0.9888993905904572,1.0,0.9609617302747832,0.9585085583878159,0.9297786488590785,0.8947931242327768,0.9513804214998375,0.9358825203337117,0.9067911760342924,0.914478621411695,0.9477870872170231,0.851452655712082,0.9511004069107692
SSA.P.11,0.9453708980324831,0.9567625418687151,0.9107312028037665,0.9343510795918621,0.9602888146136447,0.914682643901543,0.9672113551289272,0.9560688434202137,0.9710479888955315,0.9609617302747832,1.0,0.9725600601899514,0.9145651150558044,0.8886255191210678,0.9660236089048987,0.9353675683848496,0.8935295277003799,0.9350568876446269,0.9606499258769284,0.900502870046035,0.9401705456504098
