,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,GSM3304959,GSM3304960,GSM3304973,GSM3304975,GSM3304984,GSM3304985,GSM3304993,GSM3305051,GSM3305089,AP.7,AP.8,AP.9,AP.10,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
GSM2674214,1.0,0.9151311423695181,0.950562937283503,0.8968373080121863,0.9230856035601488,0.8980974014355019,0.9622033112869549,0.8745290660893383,0.9037502965576781,0.8777089076723509,0.9590257966997465,0.8915299000570484,0.8931024668478975,0.9043459814709733,0.902009495534871,0.8866817508275384,0.8883662745200188,0.9111091682935796,0.8468768196400553,0.8768630268459918,0.9523476820398383,0.9397888976171087,0.9277520068858011,0.883753274011508,0.9195913823758095,0.9045559265740214,0.9429344712259115,0.9200483851253046,0.9428579298277333,0.9370299611224474,0.9232273894967166,0.9243355943551723,0.9344728025072979,0.9336926033641232,0.9568126732853238,0.9305102671199111,0.950109998392015,0.9133257438150848,0.9385814522102026,0.9576668924626992,0.91926519709315,0.9577106849964406,0.942381720608252,0.9544348774118389,0.9520033552067874,0.9589423016408821,0.9375839949587763,0.9392437290312755,0.9253571681244217,0.9585374083631231,0.924307415089197,0.8883671047191033,0.9368514325996403,0.9624855938234148,0.8849747896620707,0.9310644548947732
GSM2674208,0.9151311423695181,1.0,0.9341440637079984,0.918570034166626,0.9294385520271624,0.9183587705062445,0.8886537643300878,0.9099796902220285,0.9053173084032033,0.9023278041164635,0.9027283663980028,0.9084308928791491,0.9034724030777587,0.8910672561469326,0.9198505684505027,0.9228764268742616,0.924648701714902,0.9387312237074873,0.8835123252991589,0.9286679090108853,0.9004389168806903,0.9068787091977539,0.8990005764732861,0.8505871346285809,0.8843613598141484,0.8566555820088555,0.8967969294860304,0.9021258519842085,0.9185022451836939,0.8909274994724036,0.8589937697169719,0.8902705141082633,0.911699304379557,0.9138115690881073,0.9224572143422634,0.8984768257847687,0.931008746086246,0.913866882722025,0.931020161358167,0.9222063652436916,0.9170372389824661,0.9093503641982486,0.901811410418743,0.9130256625740121,0.9114147070115237,0.9001011604494719,0.8947237402677064,0.9227948559173024,0.9162330180511744,0.9262581235131151,0.907380028614115,0.9030916627663415,0.8971642098635606,0.9150894127634145,0.804792531155211,0.8956962700838837
GSM2674209,0.950562937283503,0.9341440637079984,1.0,0.9256111838212797,0.9343547886525347,0.9358366316565078,0.9326604108177864,0.9081538410668148,0.9199795224654151,0.9174049599779192,0.9355538670399334,0.9120357405527688,0.9169620362625733,0.9061260628985627,0.9340188628966286,0.9204486933936318,0.9278752097650663,0.941306019998897,0.8969393841571184,0.9163269259234538,0.9347402553501263,0.9369263320420149,0.9267354546026566,0.880099971138001,0.9139601639238375,0.8880995330224091,0.9292607046350163,0.9249427328883606,0.9371153156576353,0.928161582370883,0.9030187397436596,0.9196041931770914,0.9329331062397578,0.9363322807247205,0.9450291559043971,0.9157170715532028,0.951398295216509,0.9228562265430037,0.9427606422042859,0.9481313268311817,0.9222248251181419,0.9453539415992709,0.9334210811195348,0.9423489374045729,0.9399708520853436,0.932992079440802,0.9189569767835173,0.945516199742899,0.9326754997646913,0.9509649831815448,0.9191015166952964,0.9065816949772384,0.9245338504938686,0.9465900018322286,0.8508581859081689,0.9204858904903059
GSM2674210,0.8968373080121863,0.918570034166626,0.9256111838212797,1.0,0.888857108960309,0.9373967591327365,0.8561627380961784,0.9193742675713619,0.9150227238951777,0.929512451887819,0.8928473294300642,0.9037779219508344,0.905732505159864,0.885112217728469,0.9151724073826241,0.897640339090663,0.9208708052863134,0.9152431408492961,0.8856727553422056,0.9190595707447877,0.8723719397365074,0.8670238639530323,0.8762193947205817,0.8213433050736046,0.8529712731517308,0.8335558985598035,0.8818238654482465,0.882614225545074,0.8815769616243776,0.8728036319299414,0.8620698208488561,0.870778495840334,0.8755683906517027,0.8828425512204017,0.8858508278250761,0.8797536506245286,0.9112869616838298,0.8810335940072924,0.9075882907353794,0.9026132655258736,0.8749553375415464,0.8931620068258947,0.8835791998555097,0.9088343744601086,0.90026502120151,0.8939428167813107,0.8895947162395016,0.879205621291024,0.8778684710606383,0.9020084333374577,0.890479507496918,0.8792068832457568,0.8730819101429995,0.8965974076820414,0.803405089169051,0.8916195084231704
GSM2674211,0.9230856035601488,0.9294385520271624,0.9343547886525347,0.888857108960309,1.0,0.9040586080410637,0.899359891134968,0.901427798813272,0.8948301653432302,0.910703466936531,0.9055287551233857,0.9133957987849307,0.9205067578278026,0.9002786598386031,0.9172448994077601,0.9212062922022733,0.9230841892902527,0.9508349478808189,0.8943133975802302,0.907036998080561,0.9176539160229151,0.9220069572578089,0.8979941014739857,0.8436646768340882,0.8786312384249652,0.8543254915592423,0.8916431784148878,0.8930244082117912,0.9515327430795085,0.8805060231705508,0.8466133507788102,0.906475994349847,0.9334392306432123,0.9338051964169222,0.9313148632649889,0.9087542249236034,0.9406475595381852,0.9224551844894063,0.9369650817981062,0.9365680039861354,0.9121989767933117,0.9130111042205814,0.9124616844100405,0.9203982836785015,0.9165392537193533,0.9142169317351053,0.8962297739510018,0.9398917780865971,0.9430088758496875,0.9407099678837533,0.9246712579313219,0.9086843751278316,0.9260249609575497,0.9317675656027735,0.8160572266028626,0.894810504959149
GSM2674212,0.8980974014355019,0.9183587705062445,0.9358366316565078,0.9373967591327365,0.9040586080410637,1.0,0.8623714221880802,0.9220882556321924,0.9144025738426179,0.9267661120034845,0.8816004400584498,0.8908533885294899,0.9219552593103362,0.8702632644809657,0.9270539575192926,0.9029096608393852,0.934708635683001,0.9242790600685853,0.9006308095751268,0.9171009628429296,0.8724846011972294,0.8696723164947057,0.8572545974090127,0.7969057007186445,0.8412444735865335,0.8071788221895119,0.8758094185613107,0.8678866423370304,0.8884957435241767,0.8627630214248928,0.8396260819188145,0.8759970972912432,0.8824232074273536,0.895224079483398,0.8987578117787784,0.8637043642517115,0.9041060183097883,0.8661947700687724,0.8936645642771306,0.900676334653128,0.8670836021091527,0.8963887170463468,0.8818403575002384,0.9065943105600103,0.9021160076152898,0.8955841814739476,0.8774299504323867,0.8891919771680449,0.8718564132772084,0.9029897466116887,0.8714143932046297,0.8564372133057861,0.8970544359968513,0.8984838545290725,0.8260989630032661,0.8800178369600418
GSM2674213,0.9622033112869549,0.8886537643300878,0.9326604108177864,0.8561627380961784,0.899359891134968,0.8623714221880802,1.0,0.8306283828394775,0.8817965286449765,0.8407046397364529,0.957905737607947,0.8639694197968811,0.8589266678391436,0.8851839505062975,0.875070463835427,0.8484840950009503,0.8588282857054922,0.8711909694658111,0.8205022030561193,0.8364270587961389,0.9537845814083086,0.9443318359555208,0.9267872855670691,0.8881734489842443,0.9196032292542939,0.9064220473062375,0.9369686900192584,0.9081724967450718,0.9261530831389646,0.9361701836701833,0.9198989972678688,0.914860785224115,0.92369108140252,0.9243741395280077,0.9463911206353921,0.920340063444996,0.9355089508471118,0.8984142918875537,0.9151996328470161,0.9440541080758935,0.9135174689159073,0.9479918819651453,0.9348657143104363,0.9359954898451911,0.9361288777691388,0.9403843585219261,0.9191437067862778,0.9320543173593243,0.9122419373886438,0.9466837828110961,0.9085330742339098,0.8720256852069465,0.9215721464824983,0.9472024881102152,0.878181349701909,0.9180958808401798
GSM2674215,0.8745290660893383,0.9099796902220285,0.9081538410668148,0.9193742675713619,0.901427798813272,0.9220882556321924,0.8306283828394775,1.0,0.899604261193197,0.9234118871726407,0.8603023199138498,0.895094607950317,0.8987086250519823,0.8699450619540166,0.903317892748464,0.9042759153363182,0.9146811232302269,0.9219426727107903,0.8882357186752514,0.9193422549824667,0.8504274269978064,0.8526168943075022,0.8517141882910919,0.7924380977415918,0.8296444103197411,0.7942148060550558,0.8584822723181394,0.8619028756112305,0.8783992320897458,0.8440360493902517,0.8150536399650866,0.8699256552518475,0.8609754388413228,0.8838016186952456,0.869776584503704,0.8552148332383733,0.8996250793878641,0.8631579076875324,0.8939041161349189,0.8957100257582146,0.8537632802235564,0.8698892115534019,0.860753671199295,0.8807725867159011,0.8694827010016873,0.8704476388636042,0.8589286923470277,0.8668511147926303,0.8707721123800338,0.8894815014526055,0.8669203651342282,0.8687194298350108,0.8715608563569339,0.8734055315393298,0.7908518341373739,0.8591852094028665
GSM2674216,0.9037502965576781,0.9053173084032033,0.9199795224654151,0.9150227238951777,0.8948301653432302,0.9144025738426179,0.8817965286449765,0.899604261193197,1.0,0.9046663740287955,0.8997047150670656,0.8970599445491354,0.8985532112676572,0.9031814139282741,0.9124480160774262,0.8995416706768163,0.9027200071419581,0.9082120921995647,0.8931691138619041,0.8895775955955031,0.8684700617853667,0.873494136414394,0.888327116536099,0.8288818506473682,0.8699935937283714,0.8526838974192865,0.8876971294584366,0.8792381552466889,0.8884722701424291,0.8800470629958947,0.867209493471146,0.8642648805849463,0.8807289509919592,0.8767008459725611,0.8991772567066654,0.8985383445678186,0.9177686238352328,0.8946925925429163,0.9009259500458116,0.9098104379549439,0.9070323059066306,0.919913718438672,0.9209289787954792,0.9240805929911952,0.9212160268115104,0.9181466759400053,0.9184897414643584,0.9015220302607146,0.8665511555196432,0.9223412873626045,0.8997743135883717,0.8883281580327854,0.8947116983971002,0.9046707964969383,0.8283388114976428,0.9036623003634919
GSM2674197,0.8777089076723509,0.9023278041164635,0.9174049599779192,0.929512451887819,0.910703466936531,0.9267661120034845,0.8407046397364529,0.9234118871726407,0.9046663740287955,1.0,0.8690094781753928,0.8961953359591668,0.9179452798781924,0.8746306720754332,0.9077904449827056,0.906829138797979,0.936863652604721,0.9242647369547015,0.9198315192265277,0.9186856763000885,0.8682787325824919,0.8677145182513335,0.8568715002958369,0.7994059511641425,0.8367185014400718,0.8061756676000326,0.860501785297453,0.8623782277963294,0.8911434791547919,0.8493393591370969,0.8242018042948981,0.8729182602799602,0.8826778550071313,0.8878244141135159,0.8827925631452274,0.8610345857263786,0.900768787759611,0.8669420431627624,0.8931558722547004,0.8969232127317202,0.8604823225890232,0.8791659471859171,0.8708416739613928,0.8898480589004614,0.8831543033478908,0.8802209241591396,0.8657083375781134,0.8840732911125908,0.8810461677303126,0.8931000801794463,0.8742743127033922,0.8616564519072846,0.8832121325977315,0.8892057430850666,0.7976060342383487,0.8643993209660881
