,CR.1,CR.2,CR.3,CR.4,CR.5,CR.6,CR.7,CR.8,CR.9,CR.10
CR.1,1.0,0.9761224556677766,0.973045651811307,0.9595964324857905,0.9436137057245252,0.9643790375989089,0.9337792798359044,0.9618025489002311,0.9597584649092245,0.9447013048951608
CR.2,0.9761224556677766,1.0,0.9796290193553622,0.9671359297684259,0.9517254860553294,0.9750321371317336,0.9324942556864266,0.9671439275154601,0.9629817946772568,0.9488369419682092
CR.3,0.973045651811307,0.9796290193553622,1.0,0.9624885810006781,0.9548347482979397,0.9744149102768904,0.9349953036924399,0.9620163836306297,0.9597151192328885,0.9511140432894375
CR.4,0.9595964324857905,0.9671359297684259,0.9624885810006781,1.0,0.9705120736927086,0.9683068390441935,0.9599318429708463,0.9775767026759444,0.9561357118027051,0.9666846235508205
CR.5,0.9436137057245252,0.9517254860553294,0.9548347482979397,0.9705120736927086,1.0,0.9688068417198493,0.9725455568686082,0.9621966496782396,0.9326033441321404,0.9768226249565617
CR.6,0.9643790375989089,0.9750321371317336,0.9744149102768904,0.9683068390441935,0.9688068417198493,1.0,0.9569224008418185,0.9653017155042013,0.9561813479269362,0.9674143515945014
CR.7,0.9337792798359044,0.9324942556864266,0.9349953036924399,0.9599318429708463,0.9725455568686082,0.9569224008418185,1.0,0.9584232740476262,0.922764933256993,0.97386966186985
CR.8,0.9618025489002311,0.9671439275154601,0.9620163836306297,0.9775767026759444,0.9621966496782396,0.9653017155042013,0.9584232740476262,1.0,0.9584742371054954,0.9664582677133594
CR.9,0.9597584649092245,0.9629817946772568,0.9597151192328885,0.9561357118027051,0.9326033441321404,0.9561813479269362,0.922764933256993,0.9584742371054954,1.0,0.9318135755935042
CR.10,0.9447013048951608,0.9488369419682092,0.9511140432894375,0.9666846235508205,0.9768226249565617,0.9674143515945014,0.97386966186985,0.9664582677133594,0.9318135755935042,1.0
