,GSM3304959,GSM3304960,GSM3304973,GSM3304975,GSM3304984,GSM3304985,GSM3304993,GSM3305051,GSM3305089,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
GSM3304959,1.0,0.9506815883992888,0.9522444185157978,0.9461738304186513,0.9445285432226631,0.9542684200907291,0.9179044296029595,0.9462677263641315,0.9378895787611253,0.9356646665119737,0.9498005968488883,0.939747850003046,0.9430294785005912,0.9397328890207562,0.9302327768044523,0.936345266137654,0.9347926432077093,0.930799852628707,0.9231762388181501,0.9269082042600086,0.9278762582521823,0.932764151833437,0.9224698783942216,0.9508897112917388,0.938509130392063,0.9250737708850243,0.8758573416161357,0.9277810115249244,0.8147202973329949,0.9258700450618697
GSM3304960,0.9506815883992888,1.0,0.951777686557255,0.9454965460455557,0.9132295202885038,0.9361500099202267,0.8739467542872501,0.9266894379859265,0.9158641068108682,0.892192694854588,0.8986221467417593,0.9105739410481676,0.9058640749702902,0.8878605188644793,0.8953287345667215,0.8863384896042905,0.8864493920443629,0.8687598489840653,0.8631379259314327,0.8695147730037112,0.8774176569118416,0.8999816662028594,0.9010387204876601,0.9037560377488044,0.8965221800704771,0.8892568024960118,0.8019183543221746,0.874747496679243,0.7424524941368214,0.8905074327717677
GSM3304973,0.9522444185157978,0.951777686557255,1.0,0.9355268999398264,0.9373820823064348,0.9487440545661113,0.9071327515587382,0.9476800726828889,0.9257958809066584,0.9070387443019883,0.9209272065393956,0.9183166386854069,0.9198824563656958,0.9201744457484549,0.9267825152008231,0.9181329834445796,0.9222274429677153,0.9051962306917977,0.9020489236718334,0.9043692891696037,0.9017554021923423,0.9298321033496849,0.9248766295762637,0.9273840935596696,0.9108116537051909,0.8960047085932012,0.8538948526291656,0.9075495950419221,0.7938176124150922,0.9034249389341366
GSM3304975,0.9461738304186513,0.9454965460455557,0.9355268999398264,1.0,0.9137319860193417,0.922611756818699,0.8776073192838063,0.9250587703179093,0.9228997368478185,0.9231077240342772,0.9115967801182795,0.9210283646465767,0.9121932088165825,0.9006485265590792,0.9105121481309538,0.9009711566948424,0.9061019923706978,0.8960597124119478,0.8942401765753081,0.8987841823511946,0.9105287331788484,0.9033685000840289,0.8945135537077152,0.9178708917918068,0.9194779449995039,0.9020237575736044,0.8282727031939596,0.8952926169778841,0.7704288943317985,0.917174765097092
GSM3304984,0.9445285432226631,0.9132295202885038,0.9373820823064348,0.9137319860193417,1.0,0.9426339736953775,0.9067505927367853,0.9484366257542044,0.936150045717189,0.9261305720952963,0.9419690721613001,0.9099111944989475,0.9343604680506942,0.9443240647403658,0.9063519369982526,0.9422600170711946,0.9280426020312692,0.9383757786295074,0.9315542261934452,0.9422789742379499,0.9257976171559564,0.9193242724284547,0.9023820927358684,0.9500764506142548,0.91926350908665,0.892788320525926,0.8887194121599363,0.9404216673274302,0.8543396787628333,0.9249699018440203
GSM3304985,0.9542684200907291,0.9361500099202267,0.9487440545661113,0.922611756818699,0.9426339736953775,1.0,0.9031293465923732,0.944010083681865,0.9287125822835222,0.9095897531503179,0.9338742488509586,0.9212554588909426,0.9381717233939708,0.927513650733794,0.9165509397020052,0.9189839703710572,0.9126106773579067,0.9210407127653576,0.9121186713415167,0.9125427177775745,0.9117879896114301,0.9175506440231168,0.9163543804762565,0.9354920205901655,0.9169851143868863,0.9108146815605694,0.8581354263629074,0.9134245222939391,0.7959082782095422,0.9181313039138372
GSM3304993,0.9179044296029595,0.8739467542872501,0.9071327515587382,0.8776073192838063,0.9067505927367853,0.9031293465923732,1.0,0.8996151467551106,0.8665666397405476,0.9146018414622231,0.9443602845021153,0.9227126140226781,0.9363495451197779,0.9467503211366244,0.9185121517983562,0.927880773252408,0.922345839059824,0.9180912284719414,0.9160391681469221,0.9223644188483001,0.8984584884029623,0.9515395688639262,0.9471450399547353,0.9463197227742296,0.922042325396409,0.8963556580740906,0.936243890857818,0.9457964293680237,0.8405960263528159,0.8902414364671906
GSM3305051,0.9462677263641315,0.9266894379859265,0.9476800726828889,0.9250587703179093,0.9484366257542044,0.944010083681865,0.8996151467551106,1.0,0.9492516317806924,0.911245352074577,0.9268325618940063,0.9069116619221083,0.9233455100190282,0.9290147415595116,0.910035919033474,0.9295406808984854,0.9198528475182439,0.9235953952997144,0.9210277450604077,0.9221576857978947,0.9103755887110019,0.9201490879324523,0.9147348630512241,0.9332943416958668,0.9066263268981167,0.8866541663388857,0.870483015246052,0.9213946286068285,0.8308511648502453,0.9272841572426211
GSM3305089,0.9378895787611253,0.9158641068108682,0.9257958809066584,0.9228997368478185,0.936150045717189,0.9287125822835222,0.8665666397405476,0.9492516317806924,1.0,0.9062065717961504,0.9087169920907052,0.886958176350401,0.9035807630279585,0.9064875488229741,0.8886047838706558,0.9250786880282024,0.9174098368184553,0.9289230982274695,0.9232486759286809,0.9246153879950522,0.923440273120105,0.8852116434570402,0.8716895122129128,0.9209498739897819,0.9024581476752507,0.8706114187784486,0.8449931542937418,0.9070298827289222,0.827029541424572,0.937544318297138
SSA.P.1,0.9356646665119737,0.892192694854588,0.9070387443019883,0.9231077240342772,0.9261305720952963,0.9095897531503179,0.9146018414622231,0.911245352074577,0.9062065717961504,1.0,0.9522372373293323,0.9513807037842035,0.9467441316966326,0.9410747295477058,0.9404707846524032,0.9274627316063012,0.9460070992394609,0.9407700119457051,0.9391189889090852,0.9453136219948154,0.948529905481732,0.9239863367293843,0.9007956129308089,0.9577363827151736,0.966181999834068,0.9409511299974593,0.8859723330846204,0.9383038609586849,0.8080977743339429,0.9379276961097388
