,Ca_2,Ca_1,TSA_2,FAP_2,GSM3304973,GSM3304975,GSM3304984,GSM3304993,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
Ca_2,1.0,0.8805809461103418,0.8024924519427394,0.8251935811349612,0.7471775177231832,0.7101216098025825,0.7873652365245469,0.8360085813613164,0.7916503190248853,0.8272959906842584,0.786625679217974,0.8159169175059292,0.8322998335313109,0.7842716742834017,0.8142526022571922,0.8058432000943837,0.8197307898323262,0.8171726041437928,0.8174404844681253,0.7914889139165202,0.8168635795593764,0.8020076386108004,0.8297416716466401,0.7994460709671963,0.7819947374485365,0.849421126592525,0.8256111838130534,0.7694032150454208,0.7943753885155275
Ca_1,0.8805809461103418,1.0,0.8713921041173854,0.8871729453261217,0.8187840027687896,0.7867588006480675,0.8483597659479041,0.898854819919022,0.8621726909580999,0.9024902688358551,0.8732888022392382,0.8959643582636161,0.8955686466060552,0.8604012777766598,0.8669737459642806,0.8648449864340256,0.8894141781899833,0.8847680316167639,0.8762442139118495,0.85873102702515,0.8849407263398605,0.8813942855787007,0.8969938674070866,0.8817392432332578,0.8699372680769093,0.8923606960146677,0.8887560734404738,0.7863451202315459,0.8537497651976551
TSA_2,0.8024924519427394,0.8713921041173854,1.0,0.9627914732979841,0.9104896651847012,0.9159913125125745,0.926406756337475,0.9313970215216475,0.9480558411238978,0.9566092191958232,0.9336654098485464,0.941094542396112,0.9540265152431758,0.9411480313393902,0.9522048028909699,0.9484025313811763,0.9518279436236011,0.9472822785305974,0.9549660437539519,0.9438380099553797,0.9386105360232232,0.9196406096436416,0.9594527673145622,0.9402106603700948,0.9151818367598152,0.9278454949046083,0.9486033317175713,0.8570238916969399,0.9339315300323557
FAP_2,0.8251935811349612,0.8871729453261217,0.9627914732979841,1.0,0.896261257099973,0.8684889087956641,0.9104610271775594,0.9441002862683783,0.9094886158076844,0.9425363187040281,0.9099513719642867,0.9238243724657875,0.946604968352431,0.9299063524641292,0.9469832326132808,0.9335563529540374,0.9345555473045455,0.9356967477135387,0.9350821283491098,0.9111969696685298,0.9478921098921861,0.921579815791977,0.9472539161430829,0.9063524159064715,0.8829490829616554,0.9510004330815585,0.9465651673385536,0.8694523165617628,0.8998798550125588
GSM3304973,0.7471775177231832,0.8187840027687896,0.9104896651847012,0.896261257099973,1.0,0.9352787125134957,0.9376138803340801,0.9073630651424516,0.9071593149611052,0.9208657986902521,0.9181297328528597,0.9197962482594046,0.9201914626715707,0.9270699984931899,0.9181691962692096,0.9223420732582248,0.9053251369515644,0.9022543820506238,0.9042642324570421,0.9017978264350965,0.9299737913330481,0.924653948101368,0.9272700902102823,0.9108600418173758,0.8960686277153755,0.8543926862291572,0.9074048332723993,0.7937619475987979,0.9031219697642977
GSM3304975,0.7101216098025825,0.7867588006480675,0.9159913125125745,0.8684889087956641,0.9352787125134957,1.0,0.9139258643108668,0.8783656327426803,0.9233881792070462,0.9119778768709084,0.9213126026566948,0.9125737900178844,0.901092590086868,0.910584931142506,0.9011684581589032,0.9059909921179639,0.8963328139877186,0.8944064759000558,0.8990228091208982,0.9105394781251931,0.9038974034894655,0.8949194373298343,0.9181670995085721,0.9198639861235087,0.9022692632756235,0.8290141152262965,0.8957858361792165,0.7709378140629067,0.9173172219291463
GSM3304984,0.7873652365245469,0.8483597659479041,0.926406756337475,0.9104610271775594,0.9376138803340801,0.9139258643108668,1.0,0.9069499699440317,0.9262265547711311,0.9419909023575348,0.9099374800355081,0.9343283383478734,0.9443520832040064,0.9065969489465112,0.9423594409366509,0.9282612881541793,0.9384972288954917,0.9316976571855627,0.9422173093683874,0.9258737493811469,0.9195501473382753,0.9023585409997459,0.95007465809671,0.9193562016357628,0.8929690392147697,0.8890769733134837,0.940294290192624,0.8543580011403522,0.9249263875545384
GSM3304993,0.8360085813613164,0.898854819919022,0.9313970215216475,0.9441002862683783,0.9073630651424516,0.8783656327426803,0.9069499699440317,1.0,0.9148063166038642,0.9447363200489403,0.9229866857532234,0.9365747204567241,0.9470333150728022,0.9184391969548719,0.9281961049140305,0.9225182721789736,0.9183647752626414,0.9162643721840359,0.9224771630124277,0.898554374784848,0.9516280909829512,0.9472323720659095,0.9466765087065133,0.9222761166972937,0.8966121822154299,0.9362742973692648,0.9459101047940808,0.8407641005500813,0.8907218152618603
SSA.P.1,0.7916503190248853,0.8621726909580999,0.9480558411238978,0.9094886158076844,0.9071593149611052,0.9233881792070462,0.9262265547711311,0.9148063166038642,1.0,0.9523615338102576,0.951434184805284,0.9467787894732123,0.941184077602801,0.9405109512815959,0.9276288133283903,0.9461240822789518,0.9409366810376996,0.9391788511584861,0.9453708980324831,0.9486060428484918,0.9241890537978047,0.9008469231538098,0.9577692672562004,0.9662787063023732,0.9411064159385397,0.8863356709996919,0.9382890168434428,0.8082731544185005,0.9379466658299094
SSA.P.2,0.8272959906842584,0.9024902688358551,0.9566092191958232,0.9425363187040281,0.9208657986902521,0.9119778768709084,0.9419909023575348,0.9447363200489403,0.9523615338102576,1.0,0.9565988471307684,0.9640685924506037,0.9784198171002949,0.9344563324698707,0.958638899005093,0.9501353374922862,0.9536927239778641,0.9426822963010996,0.9567625418687151,0.941870062227017,0.9429903765448251,0.9322569379065594,0.9767233442662289,0.95307873641792,0.9365760742732732,0.934024743262551,0.9563630565384013,0.8646742108019513,0.9287895033462724
SSA.P.3,0.786625679217974,0.8732888022392382,0.9336654098485464,0.9099513719642867,0.9181297328528597,0.9213126026566948,0.9099374800355081,0.9229866857532234,0.951434184805284,0.9565988471307684,1.0,0.9606234521158847,0.9209571605674759,0.9577181827721178,0.9042055265087596,0.9235206407018155,0.9198041574291146,0.9228493155120989,0.9107312028037665,0.9276216461198641,0.9480709213074574,0.9344957643124696,0.9478028285768926,0.966246699705467,0.9684263201501919,0.8579525328974829,0.9125706734635279,0.7388162462129766,0.9296384300780692
SSA.P.4,0.8159169175059292,0.8959643582636161,0.941094542396112,0.9238243724657875,0.9197962482594046,0.9125737900178844,0.9343283383478734,0.9365747204567241,0.9467787894732123,0.9640685924506037,0.9606234521158847,1.0,0.9570472496405311,0.9359929404235464,0.931004900738549,0.9272410496076144,0.9358466875088575,0.9300064647291375,0.9343510795918621,0.9342947788550542,0.9442679653556179,0.9380800511122304,0.9633434266354429,0.9558931446441536,0.9516619928999637,0.8910532024688259,0.9465828538995645,0.7956490544881855,0.9327887061999267
SSA.P.5,0.8322998335313109,0.8955686466060552,0.9540265152431758,0.946604968352431,0.9201914626715707,0.901092590086868,0.9443520832040064,0.9470333150728022,0.941184077602801,0.9784198171002949,0.9209571605674759,0.9570472496405311,1.0,0.9195105058734253,0.9652539431164889,0.9478897322240045,0.9459945010460779,0.9319955414084867,0.9602888146136447,0.9287041999556999,0.9364351553841462,0.9290150231017761,0.9719653927949298,0.930722385184429,0.9040316962672826,0.9526239968861115,0.9621624720076167,0.90148983366988,0.9134127455943887
SSA.P.6,0.7842716742834017,0.8604012777766598,0.9411480313393902,0.9299063524641292,0.9270699984931899,0.910584931142506,0.9065969489465112,0.9184391969548719,0.9405109512815959,0.9344563324698707,0.9577181827721178,0.9359929404235464,0.9195105058734253,1.0,0.920830048116392,0.9474216186058803,0.9271026086868666,0.9347672157653153,0.914682643901543,0.9290529340340445,0.9526220893428454,0.9268041399102623,0.9364157000780785,0.9406175021043419,0.9358287184478871,0.8790098391058928,0.9085334394447615,0.7698677582818197,0.9206355269204932
SSA.P.7,0.8142526022571922,0.8669737459642806,0.9522048028909699,0.9469832326132808,0.9181691962692096,0.9011684581589032,0.9423594409366509,0.9281961049140305,0.9276288133283903,0.958638899005093,0.9042055265087596,0.931004900738549,0.9652539431164889,0.920830048116392,1.0,0.9651975763438672,0.9620250985102777,0.9506148151348637,0.9672113551289272,0.9453813960246389,0.9317974971201051,0.8979977795898327,0.9655509633278356,0.9137383480344142,0.8837239468822031,0.951309283411816,0.9586763064431096,0.9174008921111658,0.9254532721518901
