,AD1,AD6,AD10,AD11,AD12,AD13,AD14,AD15,AD16,AD17,AD18,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088
AD1,1.0,0.9691480513281796,0.9636651723092728,0.9403593581703185,0.9459886763582263,0.9040946425913631,0.9735455415646226,0.9732327752842853,0.9418107947266685,0.9549571434512468,0.9231740720671564,0.9330487889498768,0.9303447811476426,0.9333353084673566,0.9383170777170743,0.9463520016120873,0.9195716398434919,0.8929456762048309,0.9497762531258538,0.9506487026197633,0.9338694592655519,0.937129064275509,0.9282932533088278,0.8791811389855215,0.9498806617932598,0.9353684952318556,0.8705774152170852,0.9516670714985678,0.912204180499737
AD6,0.9691480513281796,1.0,0.9586607578625863,0.9351658856891436,0.9374228733478871,0.9173398399079367,0.9628716829498865,0.954418159286514,0.9397143080545305,0.9463767480988555,0.9161254866925063,0.9214862374164294,0.9301278129735563,0.9319013540960627,0.9345291816855033,0.9471880077986535,0.9172263038691988,0.9019608314927524,0.9480944321743071,0.9445664409321072,0.9341783450943872,0.9360669219694079,0.9268036684456844,0.8834749047905599,0.9425711669583265,0.9339348766569837,0.8813235230077757,0.9486706729367123,0.9022080728290622
AD10,0.9636651723092728,0.9586607578625863,1.0,0.9395819052975666,0.9414122491674206,0.9109386842200173,0.9657708856261265,0.9502710077512403,0.9591219957391043,0.9566680776968287,0.9101371937300142,0.9063491660446987,0.913765617099118,0.9114986408481996,0.9222118455019598,0.9382290638564079,0.9007806537578531,0.8767972778699865,0.937412040675557,0.9413058755494942,0.911344576274105,0.9294572464158306,0.9107499212956994,0.8548613705064709,0.928009504453047,0.9157877259692732,0.8544474974999826,0.9439679618447485,0.8745483988093142
AD11,0.9403593581703185,0.9351658856891436,0.9395819052975666,1.0,0.9341799727832311,0.9181737522667938,0.945231755496754,0.9428094402749105,0.9470775311247958,0.9356005713217371,0.9028317757572794,0.9194888913899005,0.8969757318975157,0.8935789377480101,0.918725373773106,0.936875383338259,0.8771819730586774,0.8950232340516637,0.9188137739948252,0.9295689395523543,0.9152320949463952,0.9184265814733463,0.8837954607553873,0.8526306628500908,0.9258612070407097,0.9133804248386742,0.8626530815272975,0.9364267017449741,0.8726922974606799
AD12,0.9459886763582263,0.9374228733478871,0.9414122491674206,0.9341799727832311,1.0,0.8996112928968729,0.9539495838072176,0.9581688173587857,0.9377591264042697,0.9341419816026225,0.8403323231955998,0.9129860291214752,0.8841913066775566,0.888626008134953,0.9164658621069458,0.9404029038147702,0.8578735928259948,0.8642050766671321,0.9078551078223497,0.9251722546300596,0.9302409180063783,0.9100498372561155,0.8629539634250957,0.8319475279640115,0.9271393689596702,0.9137579852439879,0.8375301304858904,0.9336955435880675,0.8927149699929178
AD13,0.9040946425913631,0.9173398399079367,0.9109386842200173,0.9181737522667938,0.8996112928968729,1.0,0.9216539193359565,0.9060161062512055,0.9209410788140264,0.9241524753334253,0.8845682184247686,0.8986988016950425,0.9011035424709168,0.8793329935794748,0.9186632230883794,0.9278670603923647,0.880619015244813,0.9193160717808658,0.9125882344194921,0.9183570782405555,0.8798627437906451,0.9336092645686109,0.891488999288652,0.8691203012813461,0.9136713277570513,0.9294442521991457,0.8416071827398528,0.9106478132239936,0.8497629864262032
AD14,0.9735455415646226,0.9628716829498865,0.9657708856261265,0.945231755496754,0.9539495838072176,0.9216539193359565,1.0,0.9757913463674588,0.9634314860447803,0.9672098514234803,0.919394204253104,0.9386051476884663,0.9290756685214314,0.9325871657353179,0.9489280724958536,0.955322977022241,0.9116114639017494,0.9056481016967706,0.948357225954487,0.9522567802296121,0.9459502090209696,0.9485275635725344,0.9211331570876105,0.8869203556651943,0.9501783876770039,0.9389636873603494,0.8807382176031674,0.9626126084050804,0.9146980265976637
AD15,0.9732327752842853,0.954418159286514,0.9502710077512403,0.9428094402749105,0.9581688173587857,0.9060161062512055,0.9757913463674588,1.0,0.9436066328879957,0.9537634862360069,0.9103909900902037,0.9419029650611636,0.9249722706790403,0.9289187104371146,0.9381537616085325,0.9476126463439062,0.9112695136307262,0.898376497400593,0.9430895252422772,0.9434765549395377,0.9400054645651538,0.9364234218609124,0.9200543425696563,0.8844484335781747,0.9518597956845668,0.9392228660682311,0.8756061026371685,0.9503641268632514,0.926693394081256
AD16,0.9418107947266685,0.9397143080545305,0.9591219957391043,0.9470775311247958,0.9377591264042697,0.9209410788140264,0.9634314860447803,0.9436066328879957,1.0,0.9546787216293108,0.9144340449010819,0.9121315754850461,0.8986669038269025,0.8969500908665139,0.9251769331045635,0.9423367099830274,0.8752509386485606,0.8876023285078274,0.9217451490080024,0.926605780794553,0.9184615894826013,0.9248647869668764,0.8850090241584344,0.8503043856962293,0.9283430854083513,0.9108829037303318,0.8566561517961321,0.943834404426027,0.8691149912574128
AD17,0.9549571434512468,0.9463767480988555,0.9566680776968287,0.9356005713217371,0.9341419816026225,0.9241524753334253,0.9672098514234803,0.9537634862360069,0.9546787216293108,1.0,0.9246722064359405,0.9230280490798621,0.9194418275895132,0.9121257590433522,0.936464091793398,0.9468298412729217,0.9006375844208292,0.8921175959848371,0.9338466467958504,0.9403571719834244,0.9134877264034291,0.9402807887671584,0.9122759004465911,0.8670985586881114,0.9350621486910791,0.9271799967072273,0.8562659488015038,0.9457781863122469,0.8853193318389367
